"","DOMENICK.S.PIZZERIA","X1015.ALLERTON.AVENUE.BRONX.NY.10469","long","lat"
"20","DOCKS RESTAURANT","633 3 AVENUE,MANHATTAN NY,10017",-73.9746706,40.7496256
"21","DOCKS CLAM BAR","240 PAGE AVENUE,STATEN ISLAND NY,10307",-74.2357598,40.5178016
"22","DOC WINE BAR","83 NORTH    7 STREET,BROOKLYN NY,11249",-73.960341,40.71978
"23","DOC WATSONS","1490 2 AVENUE,MANHATTAN NY,10075",-73.9555177,40.7722793
"24","DOC POPCORN","2655 RICHMOND AVENUE,STATEN ISLAND NY,10314",-74.1652624,40.5818776
"25","DOC HOLIDAYS","141 AVENUE A,MANHATTAN NY,10009",-73.98299,40.72726
"26","DO HWA","55 CARMINE STREET,MANHATTAN NY,10014",-74.0042313,40.7299611
"27","DMV NEWS","16846 91 AVENUE,QUEENS NY,11432",-73.791609,40.7071535
"28","DMV Deli Express","1332 COMMERCE AVE,BRONX NY,10461",-73.8400872,40.8363004
"29","DL","95 DELANCEY STREET,MANHATTAN NY,10002",-73.9893704,40.7185899
"30","DJERDAN","3404 31 AVENUE,QUEENS NY,11106",-73.9210406,40.7629293
"31","DJERDAN","2283 65 STREET,BROOKLYN NY,11204",-73.9791132,40.6127878
"32","DJ'S BAR & GRILL","480 CHESTER STREET,BROOKLYN NY,11212",-73.909454,40.659827
"33","DJ REYNOLDS PUB AND RESTAURANT","351 WEST   57 STREET,MANHATTAN NY,10019",-73.9849813,40.7678208
"34","DJ PIZZA","120 E 34TH ST,MANHATTAN NY,10016",-73.9802022,40.7464441
"35","DIZZY'S RESTAURANT","511 9 STREET,BROOKLYN NY,11215",-73.9788296,40.6657759
"36","DIZZY'S ON 5TH","230 5 AVENUE,BROOKLYN NY,11215",-73.9811325,40.6757485
"37","DIZZY'S CLUB COCA-COLA (ENTRANCE at 20 W60 St-Stage Door)","10 COLUMBUS CIRCLE,MANHATTAN NY,10019",-73.9831903,40.7684251
"38","DIY KARAOKE","13335 ROOSEVELT AVE,QUEENS NY,11354",-73.8331317,40.7588187
"39","DIY BILLIARDS","3621 PRINCE STREET,QUEENS NY,11354",-73.832618,40.761686
"40","DIXON PLACE","161 CHRYSTIE STREET,MANHATTAN NY,10002",-73.992921,40.7206044
"41","DIWINE","4115 31 AVENUE,QUEENS NY,11103",-73.9155617,40.7608497
"42","DIWAN-E-KHAAS","2628 CEDAR STREET,MANHATTAN NY,10005",-74.0086037,40.7073175
"43","DIWAN-E- KHAAS","53 NASSAU STREET,MANHATTAN NY,10038",-74.0091352,40.7090346
"44","DIVINE KOSHER BAKERY","1999 MCDONALD AVENUE,BROOKLYN NY,11223",-73.9719848,40.6037702
"45","DIVINE FLAVORED","609 FOUNTAIN AVE,BROOKLYN NY,11208",-73.8708324,40.6659259
"46","DIVINE CREATION COFFEE","75 JFK AIRPORT,QUEENS NY,11430",-73.7781391,40.6413111
"47","DIVINE BICKLES RESTAURANT.","15721 ROCKAWAY BLVD,QUEENS NY,11434",-73.7770042,40.6635462
"48","DIVINE BAR & GRILL","896 BROADWAY,BROOKLYN NY,11206",-73.9371334,40.6978151
"49","DIVIERA DRIVE","131 BERRY ST,BROOKLYN NY,11249",-73.958976,40.718322
"50","DIVERSE DIM SUM","13335 ROOSEVELT AVE,QUEENS NY,11354",-73.8331317,40.7588187
"51","DIVERS COVE","2901 FRANCIS LEWIS BOULEVARD,QUEENS NY,11358",-73.7928547,40.7703323
"52","DIVE BAR","732 AMSTERDAM AVENUE,MANHATTAN NY,10025",-73.9707928,40.7939574
"53","DIVE 75","101 WEST   75 STREET,MANHATTAN NY,10023",-73.9776006,40.7795977
"54","DITCH PLAINS","29 BEDFORD STREET,MANHATTAN NY,10014",-74.0037923,40.7291902
"55","DISTRICT TAP HOUSE","246 W 38TH ST,MANHATTAN NY,10018",-73.9905013,40.7540393
"56","DISTRICT SOCIAL","252 W 37TH ST,MANHATTAN NY,10018",-73.9914546,40.7535849
"57","DISTRICT MOT","3715 BROADWAY,QUEENS NY,11103",-73.9199366,40.7596281
"58","DISTRIBUIDORA SAN MARCOS","969 INTERVALE AVENUE,BRONX NY,10459",-73.8971523,40.8222139
"59","DISTILLED","211 WEST BROADWAY,MANHATTAN NY,10013",-74.00622,40.7188969
"60","DISNEY ABC CAFETERIA","77 WEST   66 STREET,MANHATTAN NY,10023",-73.9805432,40.7735297
"61","DISNEY ABC CAFETERIA","125 WEST END AVENUE,MANHATTAN NY,10023",-73.9879579,40.7758851
"62","DISIAC LOUNGE","40012 WEST   54 STREET,MANHATTAN NY,10019",-73.9857026,40.7653898
"63","DISHES","6 EAST   45 STREET,MANHATTAN NY,10017",-73.9788995,40.7549264
"64","DISHES","48 GRAND CENTRAL TERMINAL,MANHATTAN NY,10017",-73.9772294,40.7527262
"65","DISHES","399 PARK AVENUE,MANHATTAN NY,10022",-73.9718849,40.7591191
"66","DISH FOOD & EVENTS","190 N 14TH ST,BROOKLYN NY,11249",-73.955771,40.722807
"67","DISH","5742 MYRTLE AVE,QUEENS NY,11385",-73.8909267,40.7011139
"68","DISFRUTA","510 WEST  207 STREET,MANHATTAN NY,10034",-73.9193734,40.8647917
"69","DISARA","121 ROMA AVENUE,STATEN ISLAND NY,10306",-74.1027367,40.5629159
"70","DIRTY PIERRES BISTRO","13 STATION SQUARE,QUEENS NY,11375",-73.8453353,40.7192848
"71","DIRTY FRENCH","180 LUDLOW ST,MANHATTAN NY,10002",-73.9872215,40.7218313
"72","DIRTY BIRD TO-GO","204 WEST   14 STREET,MANHATTAN NY,10011",-74.0004617,40.7386228
"73","DIRTY BIRD TO GO","155 CHAMBERS STREET,MANHATTAN NY,10007",-74.0099709,40.716076
"74","DIRT CANDY","86 ALLEN ST,MANHATTAN NY,10002",-73.9907531,40.717941
"75","DIRCK THE NORSEMAN","7 N 15TH ST,BROOKLYN NY,11222",-73.957068,40.725131
"76","DIPPIN' DOTS","767 5 AVENUE,MANHATTAN NY,10153",-73.9722478,40.7635371
"77","DIPPIN' DOTS","2300 SOUTHERN BLVD,BRONX NY,10460",-73.8786113,40.8502883
"78","DIPPIN' DOTS","2300 SOUTHERN BOULEVARD,BRONX NY,10460",-73.8786113,40.8502883
"79","DIP DIP","135-21a 37TH AVE,QUEENS NY,11354",-73.8323922,40.7612674
"80","DIONYSOS","2315 31ST ST,QUEENS NY,11105",-73.9130064,40.7738147
"81","DINOSAUR BAR-B-QUE","2276 12 AVENUE,MANHATTAN NY,10027",-73.960982,40.817998
"82","DINOSAUR BAR-B-QUE","604 UNION STREET,BROOKLYN NY,11215",-73.9841061,40.677563
"83","DINO'S PIZZA & PASTA","5418 31ST AVE,QUEENS NY,11377",-73.9066899,40.7568732
"84","DINO'S PIZZA & PASTA","3001 BROADWAY,QUEENS NY,11106",-73.92591,40.762454
"85","DINO'S PIZZA","5660 MOSHOLU AVENUE,BRONX NY,10471",-73.9013792,40.9050678
"86","DINO","222 DEKALB AVENUE,BROOKLYN NY,11205",-73.9704933,40.6893819
"87","DINING ROOM",".1-A EAST 77 ST,MANHATTAN NY,10021",-73.9580246,40.7700703
"88","DINING ROOM","56 WILLOUGHBY STREET,BROOKLYN NY,11201",-73.9866312,40.6920049
"89","DINING HALL @ JOHN JAY  (MBJ FOOD SERVICES)","524 WEST   59 STREET,MANHATTAN NY,10019",-73.9886729,40.7705444
"90","DINING CLUB ROCKEFELLER CENTER","30 ROCKEFELLER PLZ,MANHATTAN NY,10112",-73.9793564,40.7589426
"91","DINER 21","2724 21ST ST,QUEENS NY,11102",-73.926731,40.771734
"92","DINER","85 BROADWAY,BROOKLYN NY,11249",-73.9655691,40.7106886
"93","DINA RATA AT ANDAZ HOTEL","75 WALL STREET,MANHATTAN NY,10005",-74.0079954,40.7051404
"94","DIMES","49 CANAL ST,MANHATTAN NY,10002",-73.9915526,40.7149466
"95","DIMES","143 DIVISION STREET,MANHATTAN NY,10002",-73.9907951,40.7143766
"96","DIMBULLA TEA SHOP","381 5TH AVE,BROOKLYN NY,11215",-73.9846437,40.6707851
"97","DIM SUM GO GO","5 EAST BROADWAY,MANHATTAN NY,10038",-73.9977221,40.7132307
"98","DIM SUM BAR","167 GRAND ST,BROOKLYN NY,11249",-73.9613035,40.7146829
"99","DILLINGERS PUB & GRILL","4619 30 AVENUE,QUEENS NY,11103",-73.90935,40.761501
"100","DILLINGER'S","146 EVERGREEN AVE,BROOKLYN NY,11206",-73.9315572,40.6991585
"101","DILL AND PARSLEY","829 3RD AVE,MANHATTAN NY,10022",-73.9701516,40.7558593
"102","DILEO'S PIZZERIA","2491 VICTORY BOULEVARD,STATEN ISLAND NY,10314",-74.1459333,40.6103717
"103","DIG INN SEASONAL MARKET","80 BROAD ST,MANHATTAN NY,10004",-74.0118572,40.7043408
"104","DIG INN SEASONAL MARKET","1178 BROADWAY,MANHATTAN NY,10001",-73.9885336,40.7453347
"105","DIG INN SEASONAL MARKET","2884 BROADWAY,MANHATTAN NY,10025",-73.9653484,40.8055612
"106","DIG INN SEASONAL MARKET","150 EAST   52 STREET,MANHATTAN NY,10022",-73.9707321,40.7571765
"107","dig inn seasonal market","225 LIBERTY ST,MANHATTAN NY,10281",-74.0152654,40.7119835
"108","DIG INN SEASONAL MARKET","80 PINE STREET,MANHATTAN NY,10005",-74.0068218,40.7061616
"109","DIG INN SEASONAL MARKET","40 WEST   55 STREET,MANHATTAN NY,10019",-73.9767455,40.7622032
"110","DIG INN","16 E 23RD ST,MANHATTAN NY,10010",-73.9883005,40.7407247
"111","DIG INN","17 East 17th Street,MANHATTAN NY,10003",-73.9909752,40.7375871
"112","DIG INN","350 HUDSON STREET,MANHATTAN NY,10014",-74.0068328,40.7276475
"113","DIG INN","275 MADISON AVENUE,MANHATTAN NY,10016",-73.9799875,40.7512258
"114","DIFARA DOLCE FATTS","1012B E 15TH ST,BROOKLYN NY,11230",-73.961434,40.6247904
"115","DIEGO'S PIZZA & RESTAURANT","1995 JEROME AVENUE,BRONX NY,10453",-73.9085607,40.8528055
"116","DIECI","228 EAST   10 STREET,MANHATTAN NY,10003",-73.9854478,40.7290212
"117","DIE STANMKNEIPE","710 FULTON STREET,BROOKLYN NY,11217",-73.9735353,40.6857666
"118","DIDI WORLD FAMOUS FOOD","2972 AVENUE U,BROOKLYN NY,11229",-73.9400836,40.6004323
"119","DIDI DUMPLING","38 LEXINGTON AVE,MANHATTAN NY,10010",-73.9845321,40.7401502
"120","DICK AND JANE'S","266 ADELPHI STREET,BROOKLYN NY,11205",-73.9713567,40.6898536
"121","DICHTER PHARMACY","4953 B'WAY,MANHATTAN NY,10034",-73.9212858,40.8721452
"122","DIANA CENTER CAFETERIA","3009 BROADWAY,MANHATTAN NY,10027",-73.9629737,40.8099181
"123","DIAMOND KRUST","387 UTICA AVENUE,BROOKLYN NY,11213",-73.9312712,40.6650086
"124","DIAMOND HORSESHOE","235 W 46TH ST,MANHATTAN NY,10036",-73.986987,40.759642
"125","DIAMOND FOREST YAN'S CHINESE KITCHEN","356 FOREST AVENUE,STATEN ISLAND NY,10301",-74.1011625,40.630852
"126","DIAMOND DOGS","3404 31ST AVE,QUEENS NY,11106",-73.9210406,40.7629293
"127","DIAMOND CLUB","689 8 AVENUE,MANHATTAN NY,10036",-73.9893551,40.7583097
"128","DIAMANTE POBLANO RESTAURANT","2431 JEROME AVENUE,BRONX NY,10468",-73.9018883,40.8621607
"129","DIABLO ROYALE","189 WEST 10 STREET,MANHATTAN NY,10014",-74.0032931,40.7343448
"130","DI MAMA PIZZA","1520 MYRTLE AVE,BROOKLYN NY,11237",-73.9130471,40.6991906
"131","DI LUVIO'S DELI","30-30 47 AVENUE,QUEENS NY,11101",-73.9362296,40.7431286
"132","DI FARA PIZZERIA","1424 AVENUE J,BROOKLYN NY,11230",-73.9615037,40.6249522
"133","DI DI RESTAURANT","2318 NOSTRAND AVE,BROOKLYN NY,11210",-73.9475475,40.6281671
"134","Di Di Dumpling","38 LEXINGTON AVE,MANHATTAN NY,10010",-73.9845321,40.7401502
"135","DI DI","183 PORT RICHMOND AVE,STATEN ISLAND NY,10302",-74.1339565,40.6367718
"136","DHRUV'S KATI SHACK FACTORY","180-10 UNION TURNPIKE,QUEENS NY,11366",-73.7876488,40.7270095
"137","DHANSHIRI CHINESE","16928 HILLSIDE AVE,QUEENS NY,11432",-73.7900167,40.7118544
"138","DHAKA RESTAURANT","16832 HILLSIDE AVE,QUEENS NY,11432",-73.7900153,40.7118549
"139","Dhaka Garden","7223 37TH AVE,QUEENS NY,11372",-73.8930569,40.7490784
"140","DHABA INDIAN CUISINE","108 LEXINGTON AVE,MANHATTAN NY,10016",-73.9829084,40.7424075
"141","DF MAVENS","37 SAINT MARKS PL,MANHATTAN NY,10003",-73.9880604,40.7288765
"142","DEWEY'S PUB","135 W 30TH ST,MANHATTAN NY,10001",-73.9911923,40.7482231
"143","DEVON AND BLAKELY","1 WORLD FINANCIAL CENTER,MANHATTAN NY,10281",-74.015607,40.7106367
"144","DEVON & BLAKELY","780 3 AVENUE,MANHATTAN NY,10017",-73.9718588,40.7550353
"145","DEVON & BLAKELY","650 FIFTH AVENUE,MANHATTAN NY,10019",-73.9768207,40.75977
"146","DEVON & BLAKELY","250 PARK AVENUE,MANHATTAN NY,10003",-73.9881589,40.7382513
"147","DEVASTHANAM CANTEEN","4557 BOWNE STREET,QUEENS NY,11355",-73.8169101,40.7528089
"148","DEUX AMIS","356 EAST   51 STREET,MANHATTAN NY,10022",-73.9661811,40.7545393
"149","DEUTSCHE BANK- EXEC DINING ROOM","60 WALL STREET,MANHATTAN NY,10005",-74.0083195,40.7061677
"150","DEUTSCHE BANK- CONFERENCE CENTER","60 WALL STREET,MANHATTAN NY,10005",-74.0083195,40.7061677
"151","DEUTSCHE BANK CONFERENCE CENTER","345 PARK AVENUE,MANHATTAN NY,10010",-73.9847793,40.7417983
"152","DEUTSCHE BANK","60 WALL STREET,MANHATTAN NY,10005",-74.0083195,40.7061677
"153","DEUM","7126 ROOSEVELT AVENUE,QUEENS NY,11372",-73.8799148,40.7480774
"154","DEUCE & BAM GOOD DINE RESTAURANT","3922 WHITE PLAINS RD,BRONX NY,10466",-73.8610237,40.8862084
"155","DETOXX BAR","23416 LINDEN BLVD,QUEENS NY,11411",-73.7277858,40.6905574
"156","DESY'S CLAM BAR RESTAURANT","562 GRAND STREET,BROOKLYN NY,11211",-73.9493182,40.7109389
"157","DESTINY/NORTH RIVER LOBSTER","PIER 83 @ WEST 43 STREET,MANHATTAN NY,10036",-74.0094178,40.7019436
"158","DESTEFANO'S STEAKHOUSE","89 CONSELYEA ST,BROOKLYN NY,11211",-73.9476905,40.715043
"159","DESSERT CLUB, CHIKALICIOUS","204 EAST   10 STREET,MANHATTAN NY,10003",-73.9863997,40.7294468
"160","DESSEO NIGHT CLUB","52-15 ROOSEVELT AVENUE,QUEENS NY,11377",-73.9118151,40.7445236
"161","DESPIERTA CON ENERGIA/HERBALIFE","10442 CORONA AVENUE,QUEENS NY,11368",-73.857198,40.743667
"162","DESPEJA TU MENTE","8945 ELMHURST AVE,QUEENS NY,11373",-73.8766706,40.7481288
"163","DESNUDA CEVICHERIA","221 SOUTH    1 STREET,BROOKLYN NY,11211",-73.9590458,40.7130845
"164","DESNUDA","122 EAST    7 STREET,MANHATTAN NY,10009",-73.984269,40.7261836
"165","DESMOND'S TAVERN","433 PARK AVENUE SOUTH,MANHATTAN NY,10016",-73.9830747,40.7441464
"166","Desi Shack","135 4TH AVE,MANHATTAN NY,10003",-73.9896018,40.7336675
"167","DESI GRILL INDIAN CUISINE","46 WYCKOFF AVE,BROOKLYN NY,11237",-73.921829,40.705651
"168","DESI GALLI","101 LEXINGTON AVE,MANHATTAN NY,10016",-73.982543,40.7420821
"169","DESI DELI PUNJABI DHABA","724 10 AVENUE,MANHATTAN NY,10019",-73.9917526,40.7642742
"170","DESERT ROSE CAFE & LOUNGE","4459 AMBOY RD,STATEN ISLAND NY,10312",-74.1629434,40.5446356
"171","DESERT RAIN LOUNGE","10729 METROPOLITAN AVE,QUEENS NY,11375",-73.8450965,40.7097624
"172","DERA RESTAURANT","7209 BROADWAY,QUEENS NY,11372",-73.8933732,40.7476878
"173","DER KRUNG","860 9 AVENUE,MANHATTAN NY,10019",-73.9860763,40.7669791
"174","DER KOMMISSAR","559 5 AVENUE,BROOKLYN NY,11215",-73.9892314,40.6653325
"175","DENO'S SWEET SHOPPE","1025 BOARDWALK,BROOKLYN NY,11224",-73.9781885,40.5743384
"176","DENO'S SNACK BAR/FAMIGLIA","1025 BOARDWALK,BROOKLYN NY,11224",-73.9781885,40.5743384
"177","DENNY'S PUB","106 BEVERLY ROAD,BROOKLYN NY,11218",-73.978947,40.6429436
"178","DENNY'S","150 NASSAU ST,MANHATTAN NY,10038",-74.0058907,40.711401
"179","DENNY'S","805 PENNSYLVANIA AVE,BROOKLYN NY,11207",-73.8898661,40.6581839
"180","DENNIS' PLACE","1701 PITKIN AVENUE,BROOKLYN NY,11212",-73.9105112,40.6699158
"181","DENIZE'S CREOLE CORNER","2602 CHURCH AVENUE,BROOKLYN NY,11226",-73.9527786,40.6504578
"182","DENIZ RESTAURANT","662 FULTON STREET,BROOKLYN NY,11217",-73.975703,40.686565
"183","DENIVAN COFFEE SHOP","10002 103 AVENUE,QUEENS NY,11417",-73.840907,40.683165
"184","DENINO'S PIZZERIA TAVERN","524 PORT RICHMOND AVENUE,STATEN ISLAND NY,10302",-74.1402506,40.6302059
"185","DENG JI RESTAURANT","4622 KISSENA BLVD,QUEENS NY,11355",-73.818788,40.749917
"186","DEMPSEY'S PUB","61 2 AVENUE,MANHATTAN NY,10003",-73.9898611,40.7260101
"187","DEMARCHELIER RESTAURANT","50 EAST   86 STREET,MANHATTAN NY,10028",-73.9586967,40.7805119
"188","DELUXE GREEN BO","66 BAYARD ST,MANHATTAN NY,10013",-73.9979995,40.7158053
"189","DELUXE","2896 BROADWAY,MANHATTAN NY,10025",-73.9649656,40.8057705
"190","DELUGE RESTAURANT","13520 39 AVENUE,QUEENS NY,11354",-73.8314682,40.7596535
"191","DELTA SKY CLUB (BARTENDER SERVICE TERMINAL D DELTA DEPARTURE)","0 LA GUARDIA AIRPORT,QUEENS NY,11369",-73.8739659,40.7769271
"192","DELTA SKY CLUB","52 JFK INT AIRPORT,QUEENS NY,11430",-73.7781391,40.6413111
"193","DELTA SKY CLUB","4 JKF INTL AIRPORT,QUEENS NY,11430",-73.7781391,40.6413111
"194","DELTA SKY CLUB","0 LAGUARDIA AIRPORT,QUEENS NY,11369",-73.8739659,40.7769271
"195","DELTA KITCHEN (IN SEAT SVC BAR 1)","126 ROOSEVELT AVENUE,QUEENS NY,11368",-73.8509772,40.7529862
"196","DELROY'S CAFE","14 DURYEA PLACE,BROOKLYN NY,11226",-73.9575019,40.6451705
"197","DELMY FOOD","456 EAST  149 STREET,BRONX NY,10455",-73.9153094,40.8148756
"198","DELMONICOS","56 BEAVER STREET,MANHATTAN NY,10004",-74.0104198,40.7049162
"199","DELMONICO'S KITCHEN","207 WEST   36 STREET,MANHATTAN NY,10018",-73.9901605,40.7526176
"200","DELMONICO GOURMET","375 LEXINGTON AVENUE,MANHATTAN NY,10017",-73.9760637,40.7508686
"201","DELMAR PIZZERIA","1668 SHEEPSHEAD BAY ROAD,BROOKLYN NY,11235",-73.9523321,40.586171
"202","DELLAROCCO'S OF BROOKLYN","214 HICKS STREET,BROOKLYN NY,11201",-73.9961773,40.695028
"203","DELLA","1238 PROSPECT AVE,BROOKLYN NY,11218",-73.976575,40.652805
"204","DELL'ANIMA","38 8 AVENUE,MANHATTAN NY,10014",-74.0040068,40.7379545
"205","DELIZIA 92","1762 2 AVENUE,MANHATTAN NY,10128",-73.9487149,40.7814071
"206","DELIZIA  RISTORANTE","1374 1 AVENUE,MANHATTAN NY,10021",-73.9550586,40.7685982
"207","DELIVERY ONLY","126 PEARL ST,MANHATTAN NY,10005",-74.0086218,40.704804
"208","DELISSIMO DELI & CAFE","39 EAST   60 STREET,MANHATTAN NY,10022",-73.9701513,40.7640838
"209","DELISH BY AMERIVENTS","4701 111 STREET,QUEENS NY,11368",-73.8517438,40.7473311
"210","DELIS 48","48 W 48 STREET,MANHATTAN NY,10036",-73.9803734,40.7580048
"211","DELIMARIE","106 DUANE STREET,MANHATTAN NY,10007",-74.0063577,40.7154202
"212","Delilah's Steaks","55 MCGUINNESS BLVD S,BROOKLYN NY,11222",-73.9458269,40.7213819
"213","DELIGHT WONG RESTAURANT","300 GRAND ST,MANHATTAN NY,10002",-73.9916292,40.717714
"214","DELIGHT DONUT","6691 FRESH POND ROAD,QUEENS NY,11385",-73.8950749,40.7021784
"215","DELIGHT 28 RESTAURANT","2830 PELL STREET,MANHATTAN NY,10013",-73.9980331,40.7148064
"216","DELICIOUS PIZZA CAFE","269 W KINGSBRIDGE RD,BRONX NY,10463",-73.9052962,40.8730078
"217","DELICIOUS ON LYDIG","746 LYDIG AVENUE,BRONX NY,10462",-73.8660308,40.8542516
"218","DELICIOUS JUICE BAR","832 WESTCHESTER AVENUE,BRONX NY,10455",-73.9022782,40.8191659
"219","DELICIOUS INC. CHINESE RESTAURANT","1974 2 AVENUE,MANHATTAN NY,10029",-73.9443093,40.7876077
"220","DELICIOUS FRUIT","1820 GRAND CONCOURSE,BRONX NY,10457",-73.90754,40.847254
"221","DELICIOUS CHINESE","1584 ROCKAWAY PARKWAY,BROOKLYN NY,11236",-73.8993323,40.6421041
"222","DELICIOUS BAKERY","139 HESTER STREET,MANHATTAN NY,10002",-73.9947008,40.7171825
"223","DELICIOSO RESTAURANT","423 EAST  149 STREET,BRONX NY,10455",-73.9168326,40.815967
"224","DELICIAS URBANAS","86 5TH AVE,BROOKLYN NY,11217",-73.9779106,40.6805064
"225","DELICIAS TROPICAL RESTAURANT","9316 37 AVENUE,QUEENS NY,11372",-73.8735915,40.7507194
"226","DELICIAS TAJADAS BAKERY & RESTAURANT","241 BAY RIDGE AVE,BROOKLYN NY,11220",-74.0271058,40.6363881
"227","DELICIAS PUEBLA","8904 ROOSEVELT AVE,QUEENS NY,11372",-73.8763065,40.7484626
"228","DELICIAS PIZZA AND CHICKEN","14120 HOLLY AVENUE,QUEENS NY,11355",-73.8172943,40.7516026
"229","DELICIAS MEXICANAS BLUE WATER","10214 ROOSEVELT AVE,QUEENS NY,11368",-73.8634254,40.7495965
"230","DELICIAS MEXICANAS","2109 3 AVENUE,MANHATTAN NY,10029",-73.940122,40.7973719
"231","DELICIAS MANABITAS RESTAURANT","4205 35 AVENUE,QUEENS NY,11101",-73.9201176,40.7543705
"232","DELICIAS CUENCANAS RESTAURANT","17218 HILLSIDE AVE,QUEENS NY,11432",-73.7893883,40.712069
"233","DELICIAS CUENCANAS BAR-RESTAURANT DELI,","4107 99 STREET,QUEENS NY,11368",-73.865228,40.747684
"234","DELICIAS COLOMBIANAS BAKERY","3703 82 STREET,QUEENS NY,11372",-73.8840906,40.749542
"235","DELICIAS CANELAS #4","9418 SUTPHIN BLVD,QUEENS NY,11435",-73.8067677,40.6984765
"236","DELICIAS CALENAS 73RD","3568 73RD ST,QUEENS NY,11372",-73.8929747,40.7490581
"237","DELICIAS CALENAS","9541 ROOSEVELT AVE,QUEENS NY,11372",-73.8702975,40.7492333
"238","DELICIAS BAKERY & RESTAURANT","10307 ROOSEVELT AVENUE,QUEENS NY,11368",-73.8624697,40.7499188
"239","DELICIAS BAKERY","215 E 167TH ST,BRONX NY,10456",-73.9159607,40.8341996
"240","DELICIAS AMBATENAS","68-24 ROOSEVELT AVE,QUEENS NY,11377",-73.89677,40.7461149
"241","DELICIA DONA MARIA RESTAURANT","8809 JAMAICA AVENUE,QUEENS NY,11421",-73.8514699,40.6939313
"242","DELICIA BAKERY","2785 3 AVENUE,BRONX NY,10455",-73.9198071,40.8151291
"243","DELICE & SARRASIN","20 CHRISTOPHER ST,MANHATTAN NY,10014",-74.0006559,40.7338142
"244","DELICATESSEN MACBAR","54 PRINCE STREET,MANHATTAN NY,10012",-73.9963118,40.72346
"245","DELICACY","12 E 44TH ST,MANHATTAN NY,10017",-73.9791717,40.7542256
"246","DELIAS LOUNGE CAFE","9224 3 AVENUE,BROOKLYN NY,11209",-74.0332473,40.6188181
"247","DELI ROCKS","3146 GREENPOINT AVE,QUEENS NY,11101",-73.9363111,40.7347912
"248","DELI PLUS ( INSIDE PORT AUTHORITY STATION)","625 8 AVE PORT AUTHORITY,MANHATTAN NY,10018",-74.0018473,40.7409608
"249","DELI PLANT MILK STORE","5754 MASPETH AVENUE,QUEENS NY,11378",-73.912612,40.7229936
"250","DELI PIZZA PIZZERIA & TAQUERIA","7020 35 AVENUE,QUEENS NY,11372",-73.8950151,40.7506897
"251","DELI GRILL","2115 WASHINGTON AVE,BRONX NY,10457",-73.895778,40.851799
"252","DELI EL BIGOTES","3 EAST   31 STREET,BROOKLYN NY,11226",-73.9485757,40.6507923
"253","DELI DOROJ FRIED CHICKEN AND PIZZA","2637 86 STREET,BROOKLYN NY,11223",-73.9837861,40.5960882
"254","DELI AND PIZZA","603 AVENUE Z,BROOKLYN NY,11223",-73.9715629,40.5862819
"255","DELI & HIBACHI","1041 BEACH 20TH ST,QUEENS NY,11691",-73.7532665,40.6034716
"256","DELI & GROCERY","666 6TH AVENUE,MANHATTAN NY,10010",-73.9936883,40.7412819
"257","DELI & GRILL","5001 4 AVENUE,BROOKLYN NY,11220",-74.0124417,40.6461925
"258","DELI & GRILL","5425 5TH AVE,BROOKLYN NY,11220",-74.012905,40.6422529
