"","V1","V2","long","lat"
"70","HONG KONG KITCHEN","30 W 183RD ST,BRONX NY,10453",-73.9051287,40.8586766
"71","HONG KONG JACKIE CHINESE RESTAURANT","610 MELROSE AVE,BRONX NY,10455",-73.9170286,40.8173253
"72","HONG KONG GOURMET","8440 JAMAICA AVENUE,QUEENS NY,11421",-73.8514711,40.6939308
"73","HONG KONG GARDEN","19511 69 AVENUE,QUEENS NY,11365",-73.789351,40.7338137
"74","HONG KONG EXPRESS","989 WYCKOFF AVE,QUEENS NY,11385",-73.9047112,40.696158
"75","HONG KONG DIM SUN","777 60TH ST,BROOKLYN NY,11220",-74.0097871,40.6357677
"76","HONG KONG CHINESE RESTAURANT","19012 HILLSIDE AVENUE,QUEENS NY,11423",-73.7713748,40.7156633
"77","HONG KONG CAFE CHINESE RESTAURANT","357 FRANKLIN AVE,BROOKLYN NY,11238",-73.9567659,40.6872112
"78","HONG KONG CAFE","13620 ROOSEVELT AVE,QUEENS NY,11354",-73.8290939,40.759362
"79","HONG KONG","6297 FOREST AVE,QUEENS NY,11385",-73.9049201,40.7109516
"80","HONG FUNG BAKERY","5124 8 AVENUE,BROOKLYN NY,11220",-74.0049389,40.640196
"81","HONG CHEUNG RESTAURANT","407 NEW LOTS AVENUE,BROOKLYN NY,11207",-73.8926935,40.662226
"82","HONG CHEONG","2393 FREDERICK DOUGLAS BOULEVARD,MANHATTAN NY,10027",-73.949938,40.812365
"83","HONG BAO RESTAURANT","4915 8 AVE,BROOKLYN NY,11220",-74.0033821,40.6412279
"84","HONG BAO CAFE","6317 18 AVENUE,BROOKLYN NY,11204",-73.9891998,40.6198188
"85","Honeyhaus Coffee","334 E 11TH ST,MANHATTAN NY,10003",-73.984804,40.72947
"86","HONEYCOMB PLAYHOUSE","735A ST. NICHOLAS AVE,MANHATTAN NY,10031",-73.9442085,40.8252699
"87","HONEYBEE PATISSERIE","6514 BAY PKWY,BROOKLYN NY,11204",-73.981985,40.6136399
"88","HONEY'S THAI PAVILION","3036 WESTCHESTER AVENUE,BRONX NY,10461",-73.8310924,40.8476756
"89","HONEY BEE'S KITCHEN","9322 AVENUE L,BROOKLYN NY,11236",-73.8976539,40.6369718
"90","HONEY BEE CAKES","1431 150TH ST,QUEENS NY,11357",-73.8133014,40.7876335
"91","HONDA/LEGENDS LOUNGE","620 ATLANTIC AVENUE,BROOKLYN NY,11217",-73.9752822,40.6826571
"92","Homewood Suites by Hilton New York Midtown Manhattan Times Square","312 W 37TH ST,MANHATTAN NY,10018",-73.9930667,40.7542902
"93","HOMETOWN HOTPOT & BBQ","194 GRAND ST,MANHATTAN NY,10013",-73.996849,40.719403
"94","HOMETOWN CUISINE","5017 8 AVENUE,BROOKLYN NY,11220",-74.0039412,40.6406113
"95","HOMETOWN BAR-B-QUE","454 VAN BRUNT ST,BROOKLYN NY,11231",-74.0161622,40.6749246
"96","HOMESTYLE FOOD SERVICES (ST. BARNABAS HIGH SCHOOL)","413 EAST  241 STREET,BRONX NY,10470",-73.8647563,40.9023238
"97","HOMESTRETCH BAR","214 KINGS HIGHWAY,BROOKLYN NY,11223",-73.9827866,40.605276
"98","HOMESTEAD GOURMET SHOP","8145 LEFFERTS BOULEVARD,QUEENS NY,11415",-73.8317634,40.7068072
"99","HOMERS TASTE RESTAURANT","4108 COLLEGE POINT BOULEVARD,QUEENS NY,11355",-73.8329581,40.7544652
"100","HOMEMADE TAQUERIA","45-09 34 AVENUE,QUEENS NY,11101",-73.9164545,40.7547664
"101","Homemade Taqueria","7103 GRAND AVE,QUEENS NY,11378",-73.8922197,40.7280528
"102","HOMEMADE TAQUERIA","4010 JUNCTION BLVD,QUEENS NY,11368",-73.869237,40.7488504
"103","HOMEMADE FALAFEL","3618 BROADWAY,QUEENS NY,11106",-73.9207264,40.7597765
"104","HOMEMADE DUMPLING","27 ESSEX STREET,MANHATTAN NY,10002",-73.9898399,40.7157468
"105","HOMEMADE","293 VAN BRUNT STREET,BROOKLYN NY,11231",-74.0110879,40.6787008
"106","HOMEFRONT DELI","41 E 41ST ST,MANHATTAN NY,10017",-73.9792299,40.7520264
"107","HOMECOMING","107 FRANKLIN STREET,BROOKLYN NY,11222",-73.9577615,40.7295868
"108","HOME VIETNAMESE SANDWICH AND BUBBLE TEA","349 5 AVENUE,BROOKLYN NY,11215",-73.9837927,40.6717363
"109","HOME SWEET HOME","131 CHRYSTIE STREET,MANHATTAN NY,10002",-73.993516,40.7195084
"110","HOME SWEET HARLEM","1528 AMSTERDAM AVENUE,MANHATTAN NY,10031",-73.9522549,40.8194095
"111","HOME RESTAURANT","20 CORNELIA STREET,MANHATTAN NY,10014",-74.0019894,40.7312758
"112","HOME PLATE CAFE","2382 HUGHES AVENUE,BRONX NY,10458",-73.887006,40.854633
"113","HOME GARDEN CHINESE RESTAURANT","2515 7 AVENUE,MANHATTAN NY,10039",-73.9383848,40.8219516
"114","HOME GARDEN","1806 CROTONA AVE,BRONX NY,10457",-73.8931202,40.8428737
"115","HOME DELI & CATERING","7135 73 PLACE,QUEENS NY,11385",-73.8760761,40.7046011
"116","Home Chef International Flavors","23114 MERRICK BLVD,QUEENS NY,11413",-73.7390559,40.675487
"117","HOME 2 SUITES BY HILTON","3906 30TH ST,QUEENS NY,11101",-73.9377067,40.7429308
"118","HOMBRES LOUNGE","8528 37 AVENUE,QUEENS NY,11372",-73.8808076,40.7498606
"119","HOM","8806 3 AVENUE,BROOKLYN NY,11209",-74.0319264,40.6218939
"120","HOLY SCHNITZEL","819 AVENUE U,BROOKLYN NY,11223",-73.9623719,40.5983669
"121","HOLY SCHNITZEL","438 NOME AVENUE,STATEN ISLAND NY,10314",-74.1645663,40.5896299
"122","HOLY MOLY (JESUS' TACO)","501 WEST 145 ST,MANHATTAN NY,10031",-73.9478153,40.8255355
"123","HOLTERMANN'S BAKERY","405 ARTHUR KILL ROAD,STATEN ISLAND NY,10308",-74.1557125,40.5645274
"124","HOLSOME BAGEL","333 KINGSTON AVENUE,BROOKLYN NY,11213",-73.9421283,40.6678276
"125","HOLLYWOOD DINER","574 6 AVENUE,MANHATTAN NY,10011",-73.9955194,40.7386926
"126","HOLLOW NICKEL","494 ATLANTIC AVENUE,BROOKLYN NY,11217",-73.9819258,40.6855771
"127","HOLLAND HOUSE","276 5TH AVE,MANHATTAN NY,10001",-73.9869223,40.7458918
"128","HOLLAND BAR","532 9 AVENUE,MANHATTAN NY,10018",-73.9935217,40.7566851
"129","HOLIDAY INN NEW YORK CITY - WALL STREET (THE BULLPEN)","51 NASSAU ST,MANHATTAN NY,10038",-74.0091838,40.7089752
"130","HOLIDAY INN EXPRESS WALL STREET","126 WATER STREET,MANHATTAN NY,10005",-74.0072567,40.7056119
"131","HOLIDAY INN EXPRESS NYC TIMES SQUARE","343 WEST   39 STREET,MANHATTAN NY,10018",-73.9930851,40.7563598
"132","HOLIDAY INN EXPRESS MANHATTAN TIME SQUARE SOUTH","60 W 36TH ST,MANHATTAN NY,10018",-73.9860534,40.7504878
"133","HOLIDAY INN EXPRESS - MANHATTAN","232 WEST   29 STREET,MANHATTAN NY,10001",-73.994704,40.748397
"134","HOLIDAY INN EXPRESS","5940 55 ROAD,QUEENS NY,11378",-73.907285,40.7264405
"135","HOLIDAY INN EXPRESS","625 UNION ST,BROOKLYN NY,11215",-73.9844246,40.6782142
"136","HOLIDAY INN EXPRESS","1315 WEST   45 STREET,MANHATTAN NY,10036",-73.9988339,40.7635896
"137","HOLIDAY INN EXPRESS","538 WEST 48TH STREET,MANHATTAN NY,10036",-73.9945857,40.7639535
"138","HOLIDAY INN / RIO GRANDE CHURRASCARIA","3905 29 STREET,QUEENS NY,11101",-73.9343614,40.7531975
"139","HOLIDAY INN","15471 BROOKVILLE BLVD,QUEENS NY,11422",-73.7433968,40.6396365
"140","HOLIDAY COCKTAIL LOUNGE","75 SAINT MARKS PL,MANHATTAN NY,10003",-73.985671,40.728004
"141","HOLEY CREAM","796 9 AVENUE,MANHATTAN NY,10019",-73.9874001,40.7650833
"142","Hole in the Wall Coffee Shop","420 5TH AVE,MANHATTAN NY,10018",-73.9832916,40.750808
"143","HOJA SANTA","250 DEKALB AVE,BROOKLYN NY,11205",-73.9688621,40.6892854
"144","HOGSHEAD TAVERN","126 HAMILTON PL,MANHATTAN NY,10031",-73.9493944,40.8240151
"145","HOAGIE'S HEROS","1650 3RD AVE,MANHATTAN NY,10128",-73.9512923,40.7829608
"146","HOA CAFE","370 8TH AVE,MANHATTAN NY,10001",-73.9956509,40.7486475
"147","HO'BRAH A TACO JOINT","412 FOREST AVE,STATEN ISLAND NY,10301",-74.103029,40.630647
"148","HO'BRAH","8618 3 AVENUE,BROOKLYN NY,11209",-74.0315044,40.6229912
"149","HO YIP RESTAURANT","110112 LIBERTY STREET,MANHATTAN NY,10006",-74.0116666,40.7096568
"150","HO WON BAKE SHOPPE","146 HESTER STREET,MANHATTAN NY,10013",-73.9962019,40.717454
"151","HO WOK","692 ARTHUR KILL ROAD,STATEN ISLAND NY,10308",-74.1643832,40.5594574
"152","HO WAN RESTAURANT","11105 LIBERTY AVENUE,QUEENS NY,11419",-73.8309388,40.6850354
"153","HO WAH RESTAURANT","551 GATES AVE,BROOKLYN NY,11216",-73.9448414,40.6870478
"154","HO MEI RESTAURANT","10305 37 AVENUE,QUEENS NY,11368",-73.8642349,40.75356
"155","HO MEI CHINESE RESTAURANT","222 MALCOM X BOULEVARD,BROOKLYN NY,11221",-73.9298001,40.6854851
"156","HO MAY RESTAURANT","638 DECATUR STREET,BROOKLYN NY,11233",-73.9170446,40.6831946
"157","HO MAY NY","69 KINGSLAND AVE,BROOKLYN NY,11211",-73.94083,40.718567
"158","HO LEE CHINESE RESTAURANT","2493 7 AVENUE,MANHATTAN NY,10030",-73.9391447,40.8213756
"159","HO HO GARDEN","9306 LIBERTY AVENUE,QUEENS NY,11417",-73.8433625,40.6805711
"160","HLY CHINESE CUISINE","4323 MAIN STREET,QUEENS NY,11355",-73.826145,40.751983
"161","HL SPRING GARDEN","8706 5 AVENUE,BROOKLYN NY,11209",-74.0271368,40.6208278
"162","HK BOXERS NYC","742 9TH AVE,MANHATTAN NY,10019",-73.988587,40.7634678
"163","HJ'S COFFEE SHOP","3801 ASTORIA BOULEVARD,QUEENS NY,11103",-73.9110539,40.7696769
"164","HIVE THAI COOKING","7160 YELLOWSTONE BLVD,QUEENS NY,11375",-73.8552347,40.7212294
"165","HITO","2512 BROADWAY,QUEENS NY,11106",-73.9282084,40.7630777
"166","HIT CAFE (BLUE ROSE)","552 8 AVENUE,MANHATTAN NY,10018",-73.9916055,40.7543349
"167","HISAES","212 EAST 9 STREET,MANHATTAN NY,10003",-73.9887681,40.7296595
"168","HIROSHI JAPANESE RESTAURANT","585 3 AVENUE,MANHATTAN NY,10016",-73.9758786,40.748367
"169","HIROHISA","73 THOMPSON ST,MANHATTAN NY,10012",-74.0031526,40.7245859
"170","HIRO SUSHI","160 FREEDOM PL,MANHATTAN NY,10069",-73.9881361,40.7777831
"171","HIP WO","255 JEFFERSON AVENUE,STATEN ISLAND NY,10306",-74.0979505,40.581118
"172","HINTERLANDS","739 CHURCH AVE,BROOKLYN NY,11218",-73.972104,40.64606
"173","HINOMARU RAMEN","3318 DITMARS BOULEVARD,QUEENS NY,11105",-73.9093059,40.7748021
"174","HING YUAN KITCHEN","12311 JAMAICA AVENUE,QUEENS NY,11418",-73.827037,40.700945
"175","HING WONG RESTAURANT","721 WESTCHESTER AVENUE,BRONX NY,10455",-73.9062825,40.8175952
"176","HING WONG CHINESE RESTAURANT","1687 MACOMBS RD,BRONX NY,10453",-73.9164158,40.8485293
"177","HING WONG","7922 5 AVE,BROOKLYN NY,11209",-74.0242448,40.6260719
"178","HING WON","48 W 48TH ST,MANHATTAN NY,10036",-73.9803734,40.7580048
"179","HING HUNG KITCHEN","619 NOSTRAND AVE,BROOKLYN NY,11216",-73.949663,40.675816
"180","HINATA RAMEN","159 E 55TH ST,MANHATTAN NY,10022",-73.9688057,40.7592701
"181","HIMALAYAN YAK RESTAURANT","7220 ROOSEVELT AVENUE,QUEENS NY,11372",-73.8799135,40.7480776
"182","HIM & HER CAFE","7901 NEW UTRECHT AVENUE,BROOKLYN NY,11214",-74.0008845,40.6126353
"183","HILTON TIMES SQUARE","234 WEST   42 STREET,MANHATTAN NY,10036",-73.9888728,40.7563592
"184","HILTON NEW YORK MAIN KITCHEN","1335 AVENUE OF THE AMERICAS,MANHATTAN NY,10019",-73.9791676,40.762358
"185","HILTON NEW  YORK HILTON BANQUET HALL","1335 AVENUE OF THE AMERICAS,MANHATTAN NY,10019",-73.9791676,40.762358
"186","HILTON HOTEL JFK AIRPORT","14402 135 AVENUE,QUEENS NY,11436",-73.7957679,40.6675075
"187","HILTON GARDEN INN- MANHATTAN- MIDTOWN EAST","206 E 52ND ST,MANHATTAN NY,10022",-73.969479,40.7566739
"188","HILTON GARDEN INN NEW YORK/TIMES SQUARE CENTRAL","136 W 42ND ST,MANHATTAN NY,10036",-73.9860706,40.7552669
"189","HILTON GARDEN INN","14818 134 STREET,QUEENS NY,11430",-73.806256,40.66575
"190","HILTON GARDEN INN","29-21 41 AVE,QUEENS NY,11101",-73.9368844,40.7502177
"191","HILTON EMPLOYEE CAFETERIA","1335 AVENUE OF THE AMERICAS,MANHATTAN NY,10019",-73.9791676,40.762358
"192","HILO","675 HUDSON ST,MANHATTAN NY,10014",-74.005458,40.7404266
"193","HILLTOP PERK DELI","83 HAVEN AVE,MANHATTAN NY,10032",-73.94229,40.8442409
"194","HILLTOP CARIBBEAN-AMERICAN RESTAURANT","3601 BARNES AVENUE,BRONX NY,10467",-73.8618456,40.8784021
"195","HILLTON RESTAURANT","492 E 98TH ST,BROOKLYN NY,11212",-73.914088,40.6567469
"196","HILLSTONE'S","153 EAST   53 STREET,MANHATTAN NY,10022",-73.9698575,40.7583616
"197","HILLSTONE MANHATTAN","378 PARK AVENUE SOUTH,MANHATTAN NY,10010",-73.9848365,40.742659
"198","HILLSIDE SWIMMING CLUB","151 SIGNS ROAD,STATEN ISLAND NY,10314",-74.16907,40.60375
"199","HILLSIDE HOT BAGELS","20415 HILLSIDE AVENUE,QUEENS NY,11423",-73.7610422,40.720925
"200","HILLSIDE GOURMET","1664 RICHMOND ROAD,STATEN ISLAND NY,10304",-74.1011744,40.5893486
"201","HILLSIDE DOSA HUTT","25815 HILLSIDE AVE,QUEENS NY,11004",-73.7095945,40.7372671
"202","HILLSIDE DELICATESSEN AND CATERERS","24106 HILLSIDE AVENUE,QUEENS NY,11426",-73.7247905,40.7336137
"203","HILLSIDE BAKERY AND FIRST FOOD","15902 HILLSIDE AVE,QUEENS NY,11432",-73.7900019,40.7118596
"204","HILLSIDE","70 HUDSON AVE,BROOKLYN NY,11201",-73.9812671,40.7028245
"205","HILLEL BAGELS","23 HILLEL PLACE,BROOKLYN NY,11210",-73.9480159,40.6326157
"206","HILL COUNTRY CHICKEN","345 ADAMS ST,BROOKLYN NY,11201",-73.9884442,40.692723
"207","HILL COUNTRY CHICKEN","1123 BROADWAY,MANHATTAN NY,10010",-73.9894806,40.7433759
"208","HILL COUNTRY BARBECUE MARKET","345 ADAMS ST,BROOKLYN NY,11201",-73.9884442,40.692723
"209","HILL COUNTRY","4 PENN PLAZA,MANHATTAN NY,10121",-73.993384,40.75048
"210","HILL COUNTRY","30 WEST   26 STREET,MANHATTAN NY,10010",-73.9904798,40.7440833
"211","HILL CAFE","17 PUTNAM AVENUE,BROOKLYN NY,11238",-73.9620175,40.6828156
"212","HILL AND DALE","115 ALLEN STREET,MANHATTAN NY,10002",-73.9906064,40.7196121
"213","HILL AND BAY","581 2ND AVENUE,MANHATTAN NY,10016",-73.9771706,40.7435137
"214","HIGHWAY DELI AND COFFEE SHOP","6111 173 STREET,QUEENS NY,11365",-73.7962705,40.7376642
"215","HIGHWAY BAGELS","1921 KINGS HIGHWAY,BROOKLYN NY,11229",-73.9539263,40.6107196
"216","HIGHLINE PIZZERIA","503 WEST   28 STREET,MANHATTAN NY,10001",-74.0022306,40.7510941
"217","HIGHLINE CAFE","85 10TH AVE,MANHATTAN NY,10011",-74.0079542,40.7432086
"218","HIGHLINE BALLROOM","431 WEST   16 STREET,MANHATTAN NY,10011",-74.005716,40.74307
"219","HIGHLANDS RESTAURANT","150 WEST   10 STREET,MANHATTAN NY,10014",-74.0010957,40.7343432
"220","HIGHLANDS CAFE RESTAURANT","1505 THIRD AVENUE,MANHATTAN NY,10028",-73.9542797,40.7779209
"221","Highbury Pub","1002 CORTELYOU RD,BROOKLYN NY,11218",-73.9684577,40.6391511
"222","HIGH STREET ON HUDSON","637 HUDSON ST,MANHATTAN NY,10014",-74.0057912,40.7388426
"223","HIGH LINE HOTEL","180 10TH AVE,MANHATTAN NY,10011",-74.0046631,40.7459766
"224","HIGH HORSE SALOON","103 HAVEMAYER STREET,BROOKLYN NY,11211",-73.9563231,40.7132156
"225","HIGH DIVE","243 FIFTH AVENUE,BROOKLYN NY,11215",-73.9812136,40.6749187
"226","HIGH CLASS PIZZA","24611 JERICHO TURNPIKE,QUEENS NY,11426",-73.7217271,40.7253812
"227","HIFI RECORDS","2319 STEINWAY ST,QUEENS NY,11105",-73.9085218,40.770405
"228","HIDEAWAY","185 DUANE STREET,MANHATTAN NY,10013",-74.0102757,40.7175759
"229","HIDE CHAN RAMEN","248 EAST   52 STREET,MANHATTAN NY,10022",-73.9681882,40.7561508
"230","HIDDEN CITY CAFE","145 EAST   23 STREET,MANHATTAN NY,10010",-73.984164,40.7395281
"231","HIBISCUS RESTAURANT & LOUNGE II","221-13 JAMAICA AVENUE,QUEENS NY,11428",-73.732927,40.720261
"232","HIBISCUS RESTAURANT","12418 101 AVENUE,QUEENS NY,11419",-73.820991,40.691103
"233","Hibino LIC","1070 JACKSON AVE,QUEENS NY,11101",-73.9520269,40.7426386
"234","HIBINO","333 HENRY STREET,BROOKLYN NY,11201",-73.9963808,40.6901494
"235","HIBERNIA","401 WEST   50 STREET,MANHATTAN NY,10019",-73.9891719,40.7637188
"236","HIBACHI ON THE RUN","1143 CLARKSON AVE,BROOKLYN NY,11212",-73.920672,40.661157
"237","HIBACHI MASTER","8512 5TH AVE,BROOKLYN NY,11209",-74.0261111,40.6219971
"238","HIBACHI KING","150 LAWRENCE ST,BROOKLYN NY,11201",-73.9865266,40.6916015
"239","HIBACHI GRILL & SUPREME BUFFET","1501 FOREST AVE,STATEN ISLAND NY,10302",-74.1374518,40.626056
"240","HIBACHI EXPRESS","4 CORTLANDT ST,MANHATTAN NY,10007",-74.0101229,40.709913
"241","HI-LIFE RESTAURANT & LOUNGE","1503 2 AVENUE,MANHATTAN NY,10075",-73.9556255,40.7729687
"242","HI-COLLAR","214 EAST 10 STREET,MANHATTAN NY,10003",-73.986028,40.7292
"243","HI THAI","123 LUDLOW STREET,MANHATTAN NY,10002",-73.9887324,40.7197614
"244","HI TEA CAFE","2114 86 STREET,BROOKLYN NY,11214",-73.995757,40.602809
"245","HI TEA","5002 5TH AVE,BROOKLYN NY,11220",-74.010687,40.6451644
"246","HI TEA","6124 SPRINGFIELD BOULEVARD,QUEENS NY,11364",-73.7566477,40.7484534
"247","HI NOODLE","333 GRAHAM AVENUE,BROOKLYN NY,11211",-73.9445923,40.7143009
"248","HI LIFE BAR & GRILL","477 AMSTERDAM AVENUE,MANHATTAN NY,10024",-73.97623,40.7855119
"249","HI FI","169 AVENUE A,MANHATTAN NY,10009",-73.9821925,40.728333
"250","HEYI XIAOCHI II","5301 8TH AVE,BROOKLYN NY,11220",-74.0053645,40.6392284
"251","HEWITT DINING HALL BARNARD COLLEGE CAFETERIA","607 WEST  116 STREET,MANHATTAN NY,10027",-73.9645365,40.8084427
"252","HESTIA MARKETPLACE","513 FASHION AVE,MANHATTAN NY,10018",-73.9889796,40.7532402
"253","HESTER STREET CAFE","235 BOWERY,MANHATTAN NY,10002",-73.9928695,40.7223752
"254","HESS CAFE","1185 AVE AMERICAS,MANHATTAN NY,10036",-73.9824244,40.7578756
"255","HERSHEYS ICE CREAM","7027 PARSONS BOULEVARD,QUEENS NY,11365",-73.8101157,40.7315007
"256","HERSHEY'S ICE CREAM","4024 COLLEGE POINT BOULEVARD,QUEENS NY,11354",-73.8355756,40.7571146
