"","name","artist","from_date","to_date","location","description","borough","show_large_image","lat","lng","active"
"11","Fata Morgana","Teresita Fernandez","2015-06-01","2016-03-31","character(0)","<p>Fata Morgana by New York-based  artist Teresita FernÁndez, consists of 500 running feet of golden,  mirror-polished discs that create canopies above the pathways around the Park’s  central Oval Lawn.</p>
<p>In nature, a Fata Morgana is a  horizontal mirage that forms across the horizon line. Alluding to this  phenomenon, Fernandez’s project introduces a shimmering horizontal element to  the Park that engages visitors in a dynamic experience. The installation is a  mirror-polished, golden metal sculpture that hovers above the Park’s winding  walkways to define a luminous experiential passage for Park visitors. The metal  forms, perforated with intricate patterns reminiscent of foliage, creates  abstract flickering effects as sunlight filters through the canopy, casting a  golden glow across the expanse of the work, paths, and passersby. The  project is Mad. Sq. Art’s first to fully utilize the upper register of a  visitor’s space.</p>
<p>“<em>Fata Morgana</em> is a site-specific work  designed for, and inspired by, Madison Square Park,” said Ms.  FernÁndez. “My concept was to invert the traditional notion of outdoor  sculpture by addressing all of the active walkways of the Park rather than  setting down a sculptural element in the Park’s center. By hovering over the  Park in a horizontal band, <em>Fata Morgana</em> becomes a ghost-like,  sculptural, luminous mirage that both distorts the landscape and radiates  golden light.”</p>
<p>This exhibition is presented by the <a href=""http://www.madisonsquarepark.org/art"">Madison Square Park Conservancy</a>. </p>","M","1","character(0)","character(0)","1"
"12","Long-Tailed Peacock and Short-Tailed Peacock","Gaston Lachaise","2015-05-07","2016-05-07","Bartow-Pell Mansion Museum","<p>These  elegant and graceful peacocks designed in 1920 were intended for a formal  garden such as that on the grounds of the Bartow-Pell Mansion Museum. The  garden was conceived and constructed circa 1916 by the prominent architectural  firm of Delano & Aldrich and recently restored in 2013. </p>
<p>Animals  were a theme to which Lachaise returned throughout his artistic career. He  sculpted peacocks, seagulls; swans, dolphins. The animals he chose to represent  were generally peaceful animals. The commissions for his animal works came  through his employer, the artist, Paul Manship (1885-1956) or architects with  whom he worked, including Welles Bosworth (1868-1966) and Philip Goodwin  (1885-1958). </p>
<p>In the case  of the short-tailed peacock, John Deering commissioned Lachaise in 1920 to make  two sculptural peacocks in stone to sit atop eight decorative spiral columns in  the Marine Garden of the home he was building outside of Miami, called Vizcaya.  Philip Goodwin commissioned the long-tailed peacock for a fountain on the wall  of his mansion on Long Island. In a poetic twist, Goodwin worked for Delano  & Aldrich between 1914-1916.</p>
<p>This exhibition  is presented by the<a href=""http://www.lachaisefoundation.org/""> Lachaise  Foundation</a>, <a href=""http://www.bpmm.org/"">the Bartow-Pell Mansion Museum</a> and the<a href=""http://www.historichousetrust.org/""> Historic House Trust</a>. </p>","X","1","40.871829","-73.805766","1"
"13","A Bench for the Night","Fanny Allie","2015-05-18","2016-05-01","PS1 Greenstreet (Jackson Avenue and 46th Avenue), Queens","<p>Artist Fanny AlliÉ raises awareness about homelessness in her public art  installation <em>A Bench for the Night. </em>Her  wooden bench is shaped in the silhouette of a sleeping person, a reminder that  a public bench is a potential bed for some New Yorkers.  She is interested in personifying the bench  while subtly referring to the dehumanization of people living on the streets.</p>
<p><em>A Bench for the Night</em> is a continuation of AlliÉ’s focus on this  important social issue. In 2014 she took part in the Engaging Artists Residency  organized by the <a href=""http://avcenter.org/engaging-artists/"">Artist Volunteer Center</a> and <a href=""http://moreart.org/"">More Art</a>, which primarily focused on homelessness. <em>Engaging Artists</em><em> </em>encourages local artists to deepen  their understanding of socially engaged art through volunteer opportunities and  interactive workshops with professionals in the fields of fine art and  activism. During this six–week program, participants were required to volunteer  at least a half a day per week at a local charitable organization.</p>
<p>  In 2013, AlliÉ also exhibited the public artwork <em>Serendipity </em>in Tompkins Square Park. The sculpture was a life–size,  steel silhouette of a formerly homeless man who spent much of his time in the  park. Furthermore, <em>A Bench for the Night</em> is the continuation of her earlier neon sculpture <em>The Glowing Homeless</em> created in 2011 for <em>Bring to Light: Nuit Blanche New York </em>in Greenpoint, Brooklyn. <em>The Glowing Homeless</em> was a neon outline  of a human form that rested on a park bench. By rendering the homeless person  in neon light asleep amongst the park’s crowds she created an alluring object  using an attractive material that reversed the normal reaction of avoidance and  instead drew people towards the form on the bench. AlliÉ’s new A <em>Bench For the Night</em> will invite the  audience to sit on the bench, an interaction between the public and the artwork  that was not possible with <em>The Glowing  Homeless</em>.</p>
<p>  While A <em>Bench For a Night </em>primarily  alludes to homelessness, the piece also reflects one’s desire to seek an  isolated place to rest and remove oneself from the continuous movement of the  city. When preparing for this exhibit, AlliÉ noticed a lack of seating in the  immediate vicinity. By placing the bench–sculpture in this small plaza, she has  created a new social space that simultaneously raises awareness on homelessness  among the general public, as well as artists and art–lovers visiting MoMA PS1 located  across the street. </p>","Q","1","40.745575","-73.946588","1"
"14","Please Touch the Art","Jeppe Hein","2015-05-17","2016-04-17","character(0)","<p>Three bodies of work are represented in the exhibition by Danish artist Jeppe Hein. Appearing Rooms is a systematically changing installation with walls of water that create rooms which appear and disappear. Visitors may move from space to space as the jets of water rise and fall. Mirror Labyrinth NY is made with equidistantly spaced vertical planks of mirror-polished stainless steel. Arranged in three radial arcs, the alternating rhythm and uneven heights of the steel elements echo the Manhattan skyline. Connecting these two works and continuing along the length of the park, the artist has installed sixteen bright red Modified Social Benches. These witty sculptures reinvent the form of the park bench, turning it into a lyrical and evocative work of art. Like each of his installations, they generate spontaneous expression and social connection, giving us new perspectives on ourselves and the world we share.</p>
<p>This exhibition is presented by the <a href=""http://www.publicartfund.org/"">Public Art Fund</a>.</p>","B","1","40.702959","-73.995772","1"
"15","Oracle of the Past, Present and Future","Jorge Luis Rodriguez","2015-06-06","2016-05-01","character(0)","<p><em>The Oracle of the Past, Present and  Future </em> is a 12-foot-tall structure that consists of  geometric interlocking parts with elements of steel, wood, glass, and a  magnificent dome that adds to its mystical symbolism. The work is inspired by  the study of celestial bodies: the influence of the sun, moon, planets and  zodiac constellations on human affairs and the natural world. Rodriguez invites  the public to consider the mysteries of astrology and engage in contemplation  and inner reflection while walking through the sculpture. The sculpture is  located on the lawn just inside Tompkins Square Park at St. Mark’s Place and  Avenue A.</p>
<p>In  addition to the installation at Tompkins Square, four sculptures will accompany  his permanent sculpture <em>Growth</em> at the  East Harlem Art Park at 120th Street and Sylvan Place. ""I have tried to  capture the interaction between trees, birds, insects, flowers, and man. My  sculpture may portray a seed sprouting from the ground, an insect transforming  into a flower, or a bird changing into a tree. I hope to create an art piece  that will serve as a source of enjoyment and inspiration to the community,”  stated RodrÍguez about <em>Growth</em> in 1985. These additional  artworks echo his original concept as they emerge from different areas of the  park.</p>
<p><em>The Oracle of the Past, Present and  Future </em>in the East  Village and <em>Birdhouse, Fish Spine,  Hummingbird </em>and<em> Palenque</em> in  Harlem celebrate the 30th Anniversary of <em><a href=""http://www.nyc.gov/html/dcla/html/panyc/rodrigue.shtml"">Growth</a></em>,  RodrÍguez’s large-scale, permanent work that was New York City’s first  completed Percent for Art commission. </p>","M","1","character(0)","character(0)","1"
"16","Sky Feather","Petros Chrisostomou","2015-06-11","2016-06-10","character(0)","<p>Petros Chrisostomou’s sculpture <em>Sky Feather</em>, Located at the Riverside Park Bird Sanctuary at 116th  Street, aims to bring awareness to this vibrant, natural bird community.Ã?Â  <em>Sky  Feather</em>, formerly exhibited at 124th Street and Lennox Avenue, will act as  a meeting point in the park and a point of discussion amongst park visitors and  birders. Though feathers appear fragile and weightless, sculpture was  fabricated with stained and sealed birch plywood and stands at 12 feet  tall.Ã?Â  He notes that a feather is the  symbolic remains of a journey or flight. Bird migration gracefully parallels  the journey taken by people around the world. The diversity of New York City  makes it an interesting and fertile arena for this homage to cultural diversity  and migration. He also hopes that the sculpture will draw people from other  neighborhoods to the park, adding an additional layer of movement. </p>
<p>The Riverside Park Bird Sanctuary runs from 116th Street to  124th Street. Since 1997, the approximately 10 acres of the Sanctuary have been  undergoing reforestation, and over 3,000 plants have been added. In the last  thirty years 177 species of birds have been seen in or around the Sanctuary,  with a yearly average of about 120 species. Visitors can expect to see the blue  grosbeak, summer tanager, hooded warbler, mourning warbler and nine species of  sparrows, among others. For more information on the Bird Sanctuary and optimal  birding times visit NYC Audubon’s <a href=""http://www.nycaudubon.org/manhattan-birding/riverside-park"">website</a>. </p>
<p>Summer on the Hudson, the NYC Parks’ annual outdoor arts and  culture festival in Riverside Park, will organize an artist talk with  Chrisostomou and a bird walk in conjunction with this exhibition. Program dates  will be listed on the Summer on the Hudson <a href=""http://www.nyc.gov/parks/soh"">website</a>. </p>
<p>This exhibition was kindly supported by the <a href=""https://riversideparknyc.org/"">Riverside Park Conservancy</a> and the <a href=""http://www.iscp-nyc.org/"">International Studio & Curatorial Program  (ISCP)</a>.</p>","M","1","40.808884","-73.965985","1"
"17","Model to Monument (M2M)","Art Students League","2015-06-11","2016-05-15","character(0)","<p>The Art Students League of New York,  one of America’s premier art schools, presents the Model to Monument Program  (M2M), a collaboration with the New York City Department of Parks &  Recreation that has culminated in the installation of seven sculptures on view  along Riverside Park South from 59th to 69th Streets. </p>
<p>  The sculptures were created by an  international team of selected League students during a nine-month program. The  pieces for this exhibition explore <em>Patterns  in Nature</em>. The artists are: The sculptors participating in the fifth  year of the M2M program are Lee Apt (<em>Jubilation!),</em>  Caroline Bergonzi (<em>Metamorphosis</em>), Kate Jansyn (<em>Fragment of an Angel</em>), Sukyung Kim  (<em>Flow  1 – Cascade</em>), Donat King (<em>Man and  Fish</em>), Paola Morales (<em>Thrive</em>),  and Ken Shih  (<em>Can  love pervade space</em>?). The collaborative sculpture in Van Cortlandt Park,  Bronx for 2015 is entitled <em>Gift of Life</em>.</p>
<p>  This work was made possible by the <a href=""http://www.nycgovparks.org/exit?url=http%3A//www.theartstudentsleague.org/ExhibitionOutreach/ModeltoMonumentProgram.aspx"">Art Students League’s Model to Monument Program</a> and the <a href=""https://riversideparknyc.org/"">Riverside  Park Conservancy</a>. </p>","M","1","character(0)","character(0)","1"
"18","Birdhouse, Fish Spine, Hummingbird and Palenque","Jorge Luis Rodriguez","2015-06-20","2016-05-01","character(0)","<p><em>Birdhouse</em>, <em>Fish Spine</em>, <em>Hummingbird</em> and <em>Palenque</em> are Rodriguez’s early  works that are on view for the first time. He created these works shortly after <em>Growth </em>with scrap metal from the  metal shop where his permanent work was fabricated. They equally represent RodrÍguez’s interest in nature and the cultural  exchange derived from travel to different countries. They are fabricated in  painted welded steel, one of his favored techniques, and stand between seven  and nine feet tall. </p>
<p><em>Birdhouse</em> was inspired by Pablo Neruda’s  poem “<em>Las aves maltratadas</em>,”  (“The Brutalized Birds”) references the conduct of birds that  assemble en masse in public places. <em>Fish  Spine</em> references RodrÍguez’s recollection of fishing  adventures in the Caribbean Sea with his brother. 
  The symbiotic  relationship between fauna and flora is captured in <em>Hummingbird.</em> <em>Palenque</em> is inspired by Mayan architectural devices used to record the passing of  celestial events. </p>
<p>In  addition to the installation at East Harlem Art Park, Rodriguez’s sculpture The  Oracle of the Past, Present and Future is on view at Tompkins Square. The  Oracle of the Past, Present and Future in the East Village and Birdhouse, Fish  Spine, Hummingbird and Palenque in Harlem celebrate the 30th Anniversary of <a href=""http://www.nyc.gov/html/dcla/html/panyc/rodrigue.shtml"">Growth</a>,  RodrÍguez’s large-scale, permanent work that was New York City’s first completed  Percent for Art commission. </p>","M","1","40.801016","-73.938822","1"
"19","caesura: a forum","Jessica Feldman, Jerome W Haferd & K Brandt Knapp","2015-06-20","2016-04-15","character(0)","<p>Located on the Acropolis of Marcus Garvey Park, <em>caesura: a forum</em>  by artist  Jessica Feldman and architects Jerome W Haferd & K Brandt Knapp is inspired  by the park’s iconic antebellum Mount Morris Fire Watchtower, and by Harlem’s  vibrant tradition of activism and rallies. The bell is silent now, as the tower  was temporarily dismantled in 2015 as the first phase for its reconstruction.  Simultaneously, Harlem is undergoing dynamic change and New York City is  experiencing a resurgence of public culture. caesura seeks to temporarily fill  an architectural gap – and create a social space – by echoing and inverting the  form and function of the absent tower. Like the bell, caesura aims to call up  the neighborhood, to preserve and revitalize Harlem’s histories, and to connect  newer and older community members to each other, by reactivating this site for  congregation, viewing, and listening. The installation will reframe history  with a temporary structure and sound. A “caesura” is a break or pause, a place  to catch your breath, most specifically in ancient spoken-word art. </p>
<p>The architectural component of this piece begins at the Acropolis  ground as an open-air, steel frame that supports a “horizontal tower”, which  the viewer can pass through and meander under. In the center of the piece, a  flattened “bell” made of reflective steel. </p>
<p>The sonic component of the piece consists of Feldman’s interactive  composition, made up of bell sounds and voices. Historical and contemporary  recordings and live-streaming voices from speeches, rallies, chants, and  assemblies in Harlem are alternated with a through-composed layer of echoing  bells. Analogous to a megaphone, the formal profile of the tower has been  tipped sideways, allowing sound to be projected outward. Taut, translucent film  runs through this shape and is mounted with electromagnetic transducers that  turn the material into a speaker, allowing sound to pour down from the spaces  in between the arches above visitors. A microphone mounted at the entrance to  the installation allows visitors to broadcast their own voices through the  piece. Those not present can participate through an interactive online  component, allowing them to trigger the bell and contribute their own live  audio to the arches. New and old histories are recorded, spliced, and digitally  scripted together, activating the acropolis throughout the day.</p>
<p>This exhibition is co-presented with the Harlem Arts Festival, Marcus  Garvey Park Alliance, and Mount Morris Park Community Improvement Association  (MMPCIA). </p>","M","1","40.804446","-73.943508","1"
"20","Water, Gift of life","The Art Students League of New York","2015-06-11","2016-06-10","character(0)","<p>The Art Students League of New York, one of America’s premier art schools, presents the Model to Monument Program (M2M), a collaboration with NYC Parks  that has culminated in the installation the sculpture, <em>Water, Gift of Life</em>, at Van Cortlandt Park. </p>
<p>In response  to this year’s theme of Patterns in Nature, the artists created a sinuous steel  twisted sculpture. The fluke of a tail runs down like a rolling wave and  culminates to form the head of a water drop. The downward flow of the fish-wave  form echoes the landscape of the hill of the Van Cortlandt House Museum, which  drops quickly down a Southward hill, and the south-running Tibbett’s Brook  through Van Cortlandt Park down to the City.</p>
<p>The shiny stainless-steel  sculpture reflects the park in a similar way that water’s surface reflects the  surrounding trees. Additionally the sculpture is a nod to the water sources  that surrounds the piece–the Nature Center to the North which provides an  exploratory, scientific perspective of the parks ecosystems. To the West, the Pool is run with engineered water systems. By contrast, Van Cortland Lake is located to the east and wetlands to the south. </p>
<p>This collaborative installation was created by artists Lee Apt, Caroline Bergonzi, Kate Jansyn, Sukyung Kim, Donat King, Paola Morales, and Ken Shih.  The group also has works concurrently on view in Riverside South Park in Manhattan. </p>
<p>This exhibition is presented with the <a href=""http://theartstudentsleague.org/ModeltoMonument/M2MYearThree.aspx"">Art Students League</a>.</p>","X","1","40.88956","-73.897879","1"
"21","Boogie Down Booth","Chat Travieso","2015-06-25","2016-06-24","character(0)","<p><em>Boogie Down Booth</em>, a colorful  new public installation bringing Bronx music, solar–powered lights, seating,  and community art to the area under the elevated tracks is on view at Seabury  park on Southern Boulevard and 174th Street in the Bronx. The second <em>Boogie Down Booth </em>follows last year’s  temporary pop–up at Southern Boulevard and Freeman Street, under the 2/5 line.</p>
<p>This new rendition features an  updated, linear design from Chat Travieso, designer of the first Booth. Like  the previous installation, the Booth provides seating, solar–powered LED  lighting, and speakers streaming music from Bronx artists. The playlist,  curated by the Bronx Music Heritage Center, covers a variety of genres born in  or inspired by the Bronx, including salsa, jazz, Afro–Caribbean, hip–hop,  Garifuna, and blues. </p>
<p>New to this booth are interactive  elements like a community bulletin board to learn about local events, and a  mural wall painted by middle and high school students from East Bronx Academy  for the Future and youth from the Children’s Aid Society, who will host  community events at the Booth. The installation, which recycles much of the  material from the previous Booth, will be open until July 2016.</p>
<p>This  exhibition is presented by<a href=""http://www.whedco.org/""> WHEDco</a> and the <a href=""http://www.whedco.org/Arts/Bronx-Music-Heritage-Center/"">Bronx Music Heritage Center</a>.</p>","X","1","40.836586","-73.888018","1"
