the_geom,NAME,TEL,URL,ADRESS1,ADDRESS2,CITY,ZIP,Star,review,Rating,closing,rates,specials,Type
POINT (-73.95778161975461 40.78432573993682),"Cooper-Hewitt, National Design Museum",(212) 849-8400,http://www.cooperhewitt.org/,2 East 91st Street,,New York,10128,4,112,4.0 star rating,"Closed: New Year's Day, Thanksgiving Day and Christmas Day","admission: $15; seniors/students, $10; under 12, free",character(0),Museum
POINT (-73.97304190142106 40.76210697296256),Dahesh Museum,(212) 759-0606,http://www.daheshmuseum.org,580 Madison Avenue,,New York,10022,4,1,4.0 star rating,,,,Museum
POINT (-73.98731863959442 40.757501085511855),Discovery Times Square Exposition,(866) 987-9692,http://www.discoverytsx.com/nyc/,226 W 44th St,,New York,10036,3.5,261,3.5 star rating,,,,Museum
POINT (-74.00290417204171 40.72245118852784),Drawing Center,(212) 219-2166,http://www.drawingcenter.org/about_visit.cfm,35 Wooster St.,,New York,10013,4,6,4.0 star rating,,,,Museum
POINT (-73.92383914748758 40.86713092093551),Dyckman Farmhouse,(212) 304-9422,http://www.dyckmanfarmhouse.org/,4881 Broadway,,New York,10034,4,11,4.0 star rating,,,,Museum
POINT (-73.95136760111666 40.793098920789426),El Museo del Barrio,(212) 831-7272,http://www.elmuseo.org/,1230 Fifth Ave,,New York,10029,3.5,62,3.5 star rating,"Closed: Monday and Tuesday and New Year's Day, Fourth of July, Thanksgiving Day and Christmas Day","admission: $9; seniors/students, $5; members/under 12, free",Free: Wednesday (for seniors),Museum
POINT (-74.04132161794243 40.69820755330298),Ellis Island Museum,(212) 363-3200,http://www.ellisisland.org/,Ellis Island,,New York,0,4,49,4.0 star rating,,,,Museum
POINT (-74.01133926317924 40.703399275987856),Fraunces Tavern Museum,(212) 425-1778,http://www.frauncestavernmuseum.org/,54 Pearl Street,,New York,10004,4,18,4.0 star rating,,,,Museum
POINT (-73.96708040539806 40.77105465350546),Frick Collection,(212) 288-0700,http://www.frick.org/,1 E. 70th Street,,New York,10021,4.5,361,4.5 star rating,Closed: Monday,"admission: $18; seniors, $12; students, $5; under 10 not admitted",Pay-what-you-wish: Sunday from 11am to 1pm,Museum
POINT (-74.07387774290744 40.6151652240151),Garibaldi-Meucci Museum,(718) 442-1608,http://statenislandusa.com/pages/garibaldi.html,420 Tompkins Avenue,,Staten Island,10305,5,2,5.0 star rating,,,,Museum
POINT (-73.96174204015233 40.77916564085246),Goethe-Institut New York,(212) 439-8700,http://www.goethe.de/ins/us/ney/deindex.htm,1014 Fifth Avenue,,New York,10028,5,2,5.0 star rating,,,,Museum
POINT (-73.9430684626868 40.77611345003038),Gracie Mansion,(212)-570-4751,http://www.nyc.gov/html/om/html/gracie.html,89th Street at East End Avenue,Carl Schurz Park,New York,10128,4.5,19,4.5 star rating,,,,Museum
,"Guggenheim Museum, Solomon R.",(212)-423-3500,http://www.guggenheim.org/guggenheim-foundation/architecture/new-york,1071 Fifth Ave,,New York,10128,3.5,2,3.5 star rating,Closed: Thursday,"admission: $18; seniors/students, $15; under 12, free",Pay-what-you-wish: Saturday from 5:45 to 7:45pm; refreshments available,Museum
POINT (-73.94682282230515 40.833452146758084),Hispanic Society of America Museum,(212) 926-2234,http://www.hispanicsociety.org/,613 West 155th Street,,New York,10032,4.5,22,4.5 star rating,,,,Museum
POINT (-74.0008918064129 40.764783273941696),Intrepid Sea-Air-Space Museum,(212) 245-0072,http://www.intrepidmuseum.org/,Pier 86 12th Ave. & 46th Street,,New York,10036,4,288,4.0 star rating,Closed: Thanksgiving Day and Christmas Day,"admission: $24; seniors (62+)/college students (with ID), $20; kids 3&ndash;17, $19; veterans, $17; under 2 and active-duty/retired military, free",character(0),Museum
POINT (-73.93765514503832 40.76695661305254),Isamu Noguchi Garden Museum,(718) 204-7088,http://www.noguchi.org/,32-37 Vernon Boulevard,,Long Island City,11106,4,92,4.0 star rating,,,,Museum
POINT (-73.99749410687575 40.719194628210495),Italian American Museum,(212) 965-9000,http://www.italianamericanmuseum.org/,155 Mulberry St.,,New York,10013,2,19,2.0 star rating,,,,Museum
POINT (-74.13812336582549 40.57631283530562),Jacques Marchais Center Museum of Tibetan Art,(718) 987-3500,http://www.tibetanmuseum.org/,338 Lighthouse Avenue,,Staten Island,10306,4,16,4.0 star rating,,,,Museum
,Japan Society,(212)-715-1255,http://www.japansociety.org/,333 E. 47th St,,New York,10017,4.5,52,4.5 star rating,Closed: Monday,"admission: $10; seniors/students, $8; under 16, free",character(0),Museum
POINT (-73.95718705931057 40.785402256425414),Jewish Museum,(212) 423-3200,http://www.thejewishmuseum.org/index.php,1109 Fifth Ave,,New York,10128,4,75,4.0 star rating,"Closed: Wednesday, major Jewish holidays and New Year's Day, Martin Luther King Jr. Day and Thanksgiving Day","admission: $12; seniors, $10; students, $7.50; under 12, free",Pay-what-you-wish: Saturday from 11am to 5:45pm,Museum
POINT (-73.80376062063522 40.703042019259755),King Manor Museum,(718) 206-0545,http://www.kingmanor.org/,152-01 Jamaica Avenue,,Queens,11432,4,4,4.0 star rating,,,,Museum
POINT (-73.98618833058292 40.74719709497243),Lee Young Hee Museum of Korean Culture,(212) 560-0722,http://www.lyhkm.org/,2 West 32nd Street,Suite 301,New York,10001,3,1,3.0 star rating,,,,Museum
,Lower East Side Tenement Museum,(212)-431-0233,https://www.tenement.org/,103 Orchard St.,,New York,10002,4.5,391,4.5 star rating,character(0),"admission: $20; seniors/students, $15; under 5, free; discount rates for combination tours",character(0),Museum
POINT (-73.98870226140056 40.75631816305801),Madame Tussauds Wax Museum,(800) 246-8872,http://www.madametussauds.com/NewYork/,234 W. 42nd Street,,New York,10036,4,309,4.0 star rating,,,,Museum
POINT (-73.99234604790877 40.72765741724545),Merchant's House Museum,(212) 777-1089,http://www.merchantshouse.com/,29 East Fourth Street,,New York,10003,4.5,50,4.5 star rating,,,,Museum
POINT (-73.96345111145274 40.77942354199044),Metropolitan Museum of Art (MET),(212) 535-7710,http://www.metmuseum.org/,1000 Fifth Avenue,,New York,10028,5,1988,5.0 star rating,"Closed: Monday (except Memorial Day; July 5, 2010; Labor Day; Columbus Day; and December 27, 2010)","recommended admission: $20; seniors, $15; students, $10; under 12, free (admission includes same-day entry to The Cloisters Museum &amp; Gardens)",Open Friday and Saturday until 9pm with museum admission; rooftop martini bar open until 8pm,Museum
POINT (-73.98132148561602 40.74929507249673),Morgan Library and Museum,(212) 685-0008,http://www.themorgan.org/home.asp,225 Madison Avenue,,New York,10016,4.5,169,4.5 star rating,"Closed: Monday and New Year's Day, Thanksgiving Day and Christmas Day","admission: $12; seniors/students/kids 12&ndash;16, $8; under 12, free",Pay-what-you-wish: Friday from 7 to 9pm; refreshments available; McKim rooms free Tuesday from 3 to 5pm and Sunday from 4 to 6pm,Museum
POINT (-73.93857438792728 40.834447679265466),Morris-Jumel Mansion,(212) 923-8008,http://www.morrisjumel.org/,65 Jumel Terrace,,New York,10032,4.5,24,4.5 star rating,,,,Museum
POINT (-73.95971082928116 40.76052578447419),Mount Vernon Hotel Museum & Garden,(212) 838-6878,http://www.mvhm.org/,421 East 61 Street,,New York,10021,4.5,8,4.5 star rating,,,,Museum
POINT (-74.00912160394257 40.706484588627994),Museum of American Finance,(212) 908-4110,http://www.moaf.org/index,48 Wall Street,,New York,10005,3.5,40,3.5 star rating,,,,Museum
POINT (-73.96690030997947 40.76471562244387),Museum of American Illustration,(212) 838-2560,http://societyillustrators.org/museum/index.cms,128 E. 63d St.,,New York,10021,4,1,4.0 star rating,,,,Museum
POINT (-73.98200725142944 40.76740607395742),Museum of Arts & Design (MAD),(212) 299-7777,http://www.madmuseum.org/,2 Columbus Circle,,New York,10019,4,121,4.0 star rating,Closed: Monday,"admission: $15; seniors/students, $12",Pay-what-you-wish: Thursday from 6 to 9pm; refreshments available,Museum
POINT (-73.99919191942232 40.71945394633874),Museum Of Chinese In America,(212) 619-4785,http://www.mocanyc.org/,215 Centre Street,,New York,10013,4,81,4.0 star rating,Closed: Monday,"admission: $15; seniors/students, $12",Pay-what-you-wish: Thursday from 6 to 9pm; refreshments available,Museum
POINT (-73.97442477664784 40.68524514383062),Museum of Contemporary African Diasporan Arts (MoCADA),(718) 230-0492,http://www.mocada.org/,80 Hanson Place,,Brooklyn,11217,4,8,4.0 star rating,,,,Museum
POINT (-74.01858571588612 40.705986647371226),Museum of Jewish Heritage,(646) 437-4200,http://www.mjhnyc.org/index.htm,36 Battery Place,,New York,10280,4.5,41,4.5 star rating,"Closed: Saturday, Jewish holidays and Thanksgiving Day","admission: $12; seniors, $10; students, $7; under 12, free",Pay-what-you-wish: Wednesday from 4 to 8pm; refreshments available,Museum
POINT (-73.97700363152086 40.76118664102449),Museum of Modern Art (MoMA),(212) 708-9400,http://www.moma.org/,11 West 53rd Street,,New York,10019,4.5,1497,4.5 star rating,Closed: Tuesday,"suggested admission: $20; seniors, $16; students, $12; 16 and under, free",Target-sponsored free admission: Friday from 4 to 8pm; refreshments available,Museum
POINT (-73.95191697462884 40.792509034510005),Museum of the City of New York,(212) 534-1672,http://www.mcny.org,1220 Fifth Avenue,,New York,10029,4,167,4.0 star rating,"Closed: Monday (except holidays) and New Year's Day, Thanksgiving Day and Christmas Day","suggested admission: $10; seniors/students, $6; families (maximum of two adults), $20; under 12, free",character(0),Museum
POINT (-73.92451017252192 40.75694448741239),Museum of the Moving Image,(718) 784-4520,http://www.movingimage.us/site/site.php,35 Avenue at 36 Street,,Queens,11106,4.5,382,4.5 star rating,,,,Museum
POINT (-73.95849177369215 40.78361316720407),National Academy Museum,(212) 369-4880,https://nationalacademy.org/index.asp,1083 5th Avenue,,New York,10128,3.5,18,3.5 star rating,,,,Museum
POINT (-74.07373713057605 40.64094901557986),National Lighthouse Museum,(718) 556-1681,http://statenislandusa.com/pages/lighthouse.html,1 Lighthouse Plaza,,Staten Island,10301,4,1,4.0 star rating,,,,Museum
POINT (-74.01372704598201 40.704321256986034),National Museum of the American Indian,(212) 514-3700,http://www.nmai.si.edu/,1 Bowling Green,,New York,10004,4,111,4.0 star rating,Closed: Christmas Day,admission: free,character(0),Museum
POINT (-74.01091566131102 40.70965448747792),National September 11 Memorial & Museum at the World Trade Center,(212) 227-7722,http://www.911memorial.org/,1 Liberty Plaza,20th Floor,New York,10006,4.5,407,4.5 star rating,,,,Museum
POINT (-73.96024812606315 40.78124233583781),Neue Galerie New York,(212) 628-6200,http://www.neuegalerie.org/,1048 Fifth Avenue,,New York,10028,3.5,156,3.5 star rating,,,,Museum
POINT (-73.99283879250072 40.722346701845474),New Museum of Contemporary Art,(212) 219-1222,http://www.newmuseum.org/,235 Bowery,,New York,10002,3,251,3.0 star rating,Closed: Monday and Tuesday,"admission: $12; seniors, $10; students, $8; 18 and under, free",Free: Thursday from 7 to 9pm Open Friday until 9pm; refreshments available,Museum
,New York Aquarium,(718)-265-4740,http://nyaquarium.com/,602 Surf Ave,,Brooklyn,11224,3,265,3.0 star rating,character(0),"admission: $13; seniors, $10; kids, $9; under 3, free",Pay-what-you-wish: Friday after 3pm,Museum
POINT (-74.00693426094169 40.72557180583998),New York City Fire Museum,(212) 691-1303,http://www.nycfiremuseum.org/,278 Spring Street,,New York,10012,4,38,4.0 star rating,,,,Museum
POINT (-74.00811754401903 40.70347829082743),New York City Police Museum,(212) 480-3100,http://www.nycpolicemuseum.org/,100 Old Slip,,New York,10038,3.5,4,3.5 star rating,,,,Museum
POINT (-73.85168679568561 40.74714778785817),New York Hall of Science,(718) 699-0005,http://www.nysci.org/,47-01 111th Street,,Queens,11368,4,155,4.0 star rating,Closed: Monday and Thanksgiving Day and Christmas Day,"admission: $11; students/seniors/kids 2&ndash;17, $8",Pay-what-you-wish: Friday from 2 to 5pm and Sunday from 10 to 11am from September through June,Museum
POINT (-73.97425753844574 40.77927324139346),New York Historical Society,(212) 873-3400,https://www.nyhistory.org/web/,2 West 77th Street,,New York,10024,4,118,4.0 star rating,Closed: Monday,"admission: $12; seniors/educators, $9; students, $7; under 12, free",Pay-what-you-wish: Friday from 6 to 8pm,Museum
POINT (-73.9900259713183 40.69052369812635),New York Transit Museum,(718) 694-4915,http://www.mta.info/mta/museum/,Boerum Pl. & Schermenhorn Street,,Brooklyn,11201,4.5,280,4.5 star rating,Closed: Monday and major holidays,"admission: $5; seniors (62+)/kids 3&ndash;17, $3; members, free",Pay-what-you-wish: Wednesday (for seniors),Museum
POINT (-73.96902249723335 40.802913999614184),Nicholas Roerich Museum,(212) 864-7752,http://www.roerich.org/,319 West 107 Street,,New York,10025,5,15,5.0 star rating,,,,Museum
POINT (-74.10177203630597 40.64431194442387),Noble Maritime Collection,(718) 447-6490,http://www.noblemaritime.org/,1000 Richmond Terrace,,Staten Island,10301,4,4,4.0 star rating,,,,Museum
POINT (-73.94621241792795 40.74583946863492),P.S. 1 Contemporary Art Center,(718) 784-2084,http://www.ps1.org/,22-25 Jackson Ave.,,Queens,11101,4,276,4.0 star rating,"Closed: Tuesday and Wednesday and New Year's Day, Thanksgiving Day and Christmas Day","admission: $5; seniors/students, $2","Free: With Museum of Modern Art admission ticket dated within 30 days Saturday Warm Up music events until 9pm: admission, $10; refreshments available",Museum
POINT (-73.9776016138105 40.76057363859203),Paley Center For Media (formerly Museum Of Television & Radio),(212) 621-6800,http://www.paleycenter.org/,25 West 52 Street,,New York,10019,3.5,44,3.5 star rating,,,,Museum
POINT (-73.72573660861673 40.74556960429117),Queens County Farm Museum,(718) 347-3276,http://www.queensfarm.org/,73-50 Little Neck Parkway,,Queens,11004,4,120,4.0 star rating,,,,Museum
POINT (-73.8467627581779 40.7458428647494),Queens Museum of Art,(718) 592-9700,http://www.queensmuseum.org/,Queens Museum of Art,Flushing Meadows Corona Park,Queens,11368,4,93,4.0 star rating,Closed: Monday and Tuesday,"suggested donation: $5; seniors/students/kids, $2.50; under 5, free",character(0),Museum
POINT (-73.97257491067647 40.78285983221266),Rose Center for Earth and Space (Hayden Planetarium),(212) 769-5100,http://www.haydenplanetarium.org/index.php,15 West 81st Street,,New York,10024,4,31,4.0 star rating,,,,Museum
POINT (-73.99779152534921 40.74002038014153),Rubin Museum of Art,(212) 620-5000,http://www.rmanyc.org/,150 West 17th Street,,New York,10011,4.5,175,4.5 star rating,character(0),"admission: $10; seniors/high school students/artists, $7; college students, $2; under 12, free",Pay-what-you-wish: Friday from 7 to 10pm; refreshments available; seniors free first Monday of each month,Museum
POINT (-73.98008843538526 40.74944689567966),Scandinavia House: The Nordic Center in America,(212) 879-9779,http://www.scandinaviahouse.org/,58 Park Ave.,,New York,10016,4,23,4.0 star rating,,,,Museum
POINT (-73.94099076053165 40.814612726277666),Schomburg Center for Research in Black Culture,(212) 491-2200,http://www.nypl.org/research/sc/sc.html,515 Malcolm X Boulevard,,New York,10037,4.5,19,4.5 star rating,,,,Museum
POINT (-74.19758929841912 40.51521434364335),Seguine Mansion,(718) 667-6042,http://www.historichousetrust.org/item.php?i_id=38,440 Seguine Avenue,,Staten Island,10307,4,1,4.0 star rating,,,,Museum
POINT (-74.01756806833069 40.70565752977975),Skyscraper Museum,(212) 968-1961,http://www.skyscraper.org/home.htm,39 Battery Place,,New York,10280,2.5,44,2.5 star rating,Closed: Monday and Tuesday,"admission: $5; seniors/students, $2.50",character(0),Museum
,Snug Harbor Cultural Center &amp; Botanical Garden,(718)-448-2500,http://snug-harbor.org/,1000 Richmond Terrace ,,Staten Island,10301,4,35,4.0 star rating,Closed: Monday (December through April),"admission for galleries and garden tours: $6; seniors/students/members, $5; under 12, $3; under 3, free",character(0),Museum
POINT (-74.00372094057576 40.70660335756895),South Street Seaport Museum,(212) 748-8600,http://www.southstreetseaportmuseum.org/,12 Fulton Street,,New York,10038,3.5,13,3.5 star rating,Closed: Tuesday through Thursday (January through March); Monday (April through December),"admission: $12; seniors/students, $10; kids 5&ndash;12, $8; under 5, free",Pay-what-you-wish: Third Friday of each month from 5 to 9pm; refreshments available,Museum
POINT (-74.10189210518134 40.64270888224811),Staten Island Children's Museum,(718) 273-2060,http://www.statenislandkids.org/,1000 Richmond Terr.,,Staten Island,10301,4.5,24,4.5 star rating,,,,Museum
POINT (-74.0776650626922 40.64436917860095),Staten Island Museum / Staten Island Institute of Arts & Sciences,(718) 727-1135,http://www.statenislandmuseum.org/,75 Stuyvesant Pl.,,Staten Island,10301,3.5,7,3.5 star rating,"Closed: Monday (on federal holidays) and New Year's Day, Thanksgiving Day and Christmas Day","admission: $2; seniors/students, $1; members/under 12, free",Pay-what-you-wish: Tuesday and Friday from noon to 2pm (lunchtime),Museum
,Statue of Liberty National Monument | Ellis Island Immigration Museum,(212)-363-3180,,Liberty Island | Ellis Island,,New York,0,4,221,4.0 star rating,Closed: Christmas Day,"admission: free, except ferry fees ($12; seniors, $10; kids 4&ndash;12, $5) and an optional $3 crown-access fee",character(0),Museum
POINT (-73.94772615470191 40.808245476168075),Studio Museum in Harlem,(212) 864-4500,http://www.studiomuseum.org,144 West 125th Street,,New York,10027,4,38,4.0 star rating,Closed: Monday and Tuesday and federal holidays,"admission: $7; seniors/students, $3; under 12, free",Target-sponsored free admission: Sunday,Museum
POINT (-73.98967904824913 40.718687698398995),Tenement Museum,(212) 431-0233,http://www.tenement.org/,108 Orchard Street,,New York,10002,4.5,393,4.5 star rating,,,,Museum
POINT (-73.9380587417615 40.80527638435791),The Jazz Museum in Harlem,(212) 348-8300,http://www.jazzmuseuminharlem.org/,58 W 129th St,Suite 2D,New York,10035,4,7,4.0 star rating,,,,Museum
POINT (-73.94196177006319 40.66891157732498),The Jewish Children's Museum,(718) 467-0600,http://www.jcmonline.org/,792 Eastern Pkwy,,Brooklyn,11213,3.5,3,3.5 star rating,,,,Museum
,The New York Botanical Garden,(718)-817-8700,http://www.nybg.org/,2900 Southern Blvd,,Bronx,10458,4.5,344,4.5 star rating,Closed: Monday (except federal holidays),"admission: $20; seniors/students, $18; under 12, $8; under 2, free",Free: All day Wednesday and Saturday from 10am to noon,Museum
,The Noguchi Museum,(718)-204-7088,http://www.noguchi.org/,9-01 33rd Road,,Queens,11106,4,92,4.0 star rating,Closed: Monday and Tuesday,"admission: $10; seniors/students, $5; under 12, free",Pay-what-you-wish: First Friday of each month,Museum
POINT (-73.98975703078781 40.7276767876997),Ukrainian Museum,(212) 228-0110,http://www.ukrainianmuseum.org/,222 East 6th Street,,New York,10003,3.5,11,3.5 star rating,,,,Museum
POINT (-73.89482257025313 40.89111116729143),Van Cortlandt House Museum,(718) 543-3344,http://www.vancortlandthouse.org/,VAN CRTLANDT MANSION,Broadway at West 246th Street,Bronx,10471,4.5,4,4.5 star rating,,,,Museum
POINT (-73.91165376574718 40.89788471476036),Wave Hill,(718) 549-3200,http://wavehill.org/visit/,West 249th Street & Independence Avenue,,Bronx,10471,4.5,98,4.5 star rating,Closed: Monday (except federal holidays),"admission: $8; seniors/students, $4; kids 6 and older, $2; under 6, free",Free: Tuesday and Saturday from 9am to noon (May through June and September through October); all day Tuesday (off-peak months),Museum
POINT (-73.96383434736195 40.773407292902185),Whitney Museum of American Art,1 (800) WHITNEY,http://www.whitney.org/,945 Madison Ave.,,New York,10021,4,138,4.0 star rating,Closed: Monday and Tuesday,"admission: $15; seniors/students, $10; under 11, free",Pay-what-you-wish: Friday from 6 to 9pm; refreshments available; occasional live music,Museum
POINT (-73.92079629906307 40.644340681393366),Wyckoff Farmhouse Museum,(718) 629-5400,http://www.wyckoffassociation.org/,5816 Clarendon Ave,,Brooklyn,11203,3.5,4,3.5 star rating,,,,Museum
POINT (-73.99381737049632 40.738045683847),Yeshiva University Museum,(212) 294-8330,http://www.yumuseum.org/,15 W. 16th St.,,New York,10011,4,3,4.0 star rating,,,,Museum
POINT (-73.99061840882582 40.75985115447559),45th Street Theater,(212) 352-3101,http://www.theatermania.com/new-york/theaters/45th-street-theatre_2278/,354 West 45th Street,,New York,10036,,,,,,,Theater
POINT (-73.9881059525377 40.76047123447081),47th Street Theater,(800) 775-1617,http://www.bestofoffbroadway.com/theaters/47streettheatre.html,304 West 47th Street,,New York,10036,,,,,,,Theater
POINT (-73.97038450260143 40.76339942774153),5.90E+60,(212) 753-5959,http://www.59e59.org/,59 East 59th Street,,New York,10022,,,,,,,Theater
POINT (-73.99332384622063 40.7585366821068),Acorn Theater,(212) 279-4200,http://www.theatrerow.org/theacorn.htm,410 West 42nd Street,,New York,10036,,,,,,,Theater
POINT (-73.9892143340222 40.75926091219353),Al Hirschfeld Theater,(212) 239-6200,http://www.newyorkcitytheatre.com/theaters/alhirschfeldtheater/theater.php,302 W 45th Street,,New York,10036,,,,,,,Theater
POINT (-73.98500141035261 40.761258614543465),Ambassador Theatre,(800) 432-7565,http://www.shubertorganization.com/theatres/ambassador.asp,219 West 49th Street,,New York,10019,,,,,,,Theater
POINT (-73.98804923812347 40.756778744642034),American Airlines Theatre,(212) 719-9393,http://www.newyorkcitytheatre.com/theaters/americanairlinestheater/theater.php,227 W 42nd Street,,New York,10036,,,,,,,Theater
POINT (-73.95003984288864 40.81003732389831),Apollo Theater,(212) 531-5300,http://www.apollotheater.org/,253 West 125th Street,,New York,10027,,,,,,,Theater
POINT (-73.98121028824352 40.77711991105619),Arclight Theatre,(212) 595-0355,http://www.nytheatre.com/nytheatre/arclight.htm,152 W 71st St,,New York,10023,,,,,,,Theater
POINT (-73.99234386140574 40.7293774091894),Astor Place Theatre,(212) 254-4370,http://www.newyorkcitytheatre.com/theaters/astorplacetheater/theater.php,434 Lafayette St,Frnt,New York,10003,,,,,,,Theater
POINT (-74.00155441083812 40.74388769285208),Atlantic Theatre,(212) 645-1242,http://www.atlantictheater.org/,336 W 20th St,,New York,10011,,,,,,,Theater
POINT (-73.98419954033942 40.76337195930883),August Wilson Theatre,(212) 239-6200,http://www.newyorkcitytheatre.com/theaters/augustwilsontheater/theater.php,245 W 52nd Street,,New York,10019,,,,,,,Theater
POINT (-74.00308826166064 40.732329478227996),Barrow Street Theatre,(212) 243-6262,http://www.barrowstreettheatre.com/index.asp,27 Barrow St,,New York,10014,,,,,,,Theater
POINT (-73.98099283696455 40.78056072965963),Beacon Theatre,(212) 465-6500,http://www.beacontheatre.com/,2124 Broadway,,New York,10023,,,,,,,Theater
POINT (-73.98378603872446 40.75665276831218),Belasco Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/belasco.asp,111 W 44th St,,New York,10036,,,,,,,Theater
POINT (-73.98772366095284 40.75862947194397),Bernard B. Jacobs Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/bernard_b_jacobs.asp,242 W 45th Street,,New York,10036,,,,,,,Theater
POINT (-73.9941751264985 40.72595304815785),Bleecker Street Theater,(212) 260-8250,http://www.45bleecker.com/,45 Bleecker Street,,New York,10012,,,,,,,Theater
POINT (-73.98708845729641 40.75837297119638),Booth Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/booth.asp,222 W 45th St,,New York,10036,,,,,,,Theater
POINT (-73.98762265805847 40.7582644097864),Broadhurst Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/broadhurst.asp,235 W 44th St,,New York,10036,,,,,,,Theater
