,NTAName,wifi,crimes,Restaurants,wifi%,crime%,restaurant%
42,Crown Heights South,0,0.882574,57,0%,92%,26%
43,Cypress Hills-City Line,1,1.1614695,70,15%,140%,32%
44,Douglas Manor-Douglaston-Little Neck,2,0.4293688,63,31%,28%,29%
45,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,75,2.0043536,235,1145%,180%,107%
46,Dyker Heights,7,0.4069356,73,107%,47%,33%
47,East Concourse-Concourse Village,3,1.1133157,69,46%,180%,31%
48,East Elmhurst,2,0.7282185,37,31%,43%,17%
49,East Flatbush-Farragut,1,0.7615322,76,15%,102%,35%
50,East Flushing,4,0.4867051,38,61%,35%,17%
51,East Harlem North,42,1.4586951,148,641%,224%,67%
52,East Harlem South,6,0.9482557,138,92%,144%,63%
53,East New York,7,1.6127278,122,107%,377%,55%
54,East New York (Pennsylvania Ave),0,1.5810277,25,0%,120%,11%
55,East Tremont,7,1.4759619,46,107%,157%,21%
56,East Village,5,1.3369901,611,76%,149%,278%
57,East Williamsburg,1,1.5683909,159,15%,132%,72%
58,Eastchester-Edenwald-Baychester,9,0.8561457,54,137%,80%,25%
59,Elmhurst,10,0.7078583,207,153%,153%,94%
60,Elmhurst-Maspeth,0,0.522162,45,0%,33%,20%
61,Erasmus,0,1.2962282,78,0%,99%,35%
62,Far Rockaway-Bayswater,11,1.0299439,46,168%,132%,21%
63,Flatbush,2,0.7231621,177,31%,193%,80%
64,Flatlands,2,0.6857433,80,31%,123%,36%
65,Flushing,6,0.7869476,434,92%,139%,197%
66,Fordham South,1,1.3023998,60,15%,87%,27%
67,Forest Hills,6,0.4073488,220,92%,88%,100%
68,Fort Greene,16,1.5306501,127,244%,105%,58%
69,Fresh Meadows-Utopia,5,0.3685977,47,76%,17%,21%
70,Ft. Totten-Bay Terrace-Clearview,2,0.374842,46,31%,22%,21%
71,Georgetown-Marine Park-Bergen Beach-Mill Basin,2,0.6638953,83,31%,82%,38%
72,Glen Oaks-Floral Park-New Hyde Park,1,0.4681857,50,15%,27%,23%
73,Glendale,1,0.576378,91,15%,47%,41%
74,Gramercy,6,1.6759348,252,92%,111%,115%
75,Grasmere-Arrochar-Ft. Wadsworth,1,0.4873096,23,15%,18%,10%
76,Gravesend,1,0.9150186,37,15%,65%,17%
77,Great Kills,2,0.2302715,90,31%,25%,41%
78,Greenpoint,1,0.9834401,186,15%,79%,85%
79,Grymes Hill-Clifton-Fox Hills,0,0.5155503,8,0%,31%,4%
80,Hamilton Heights,12,0.9431948,94,183%,123%,43%
81,Hammels-Arverne-Edgemere,9,1.1492958,33,137%,104%,15%
82,Highbridge,1,1.0576015,38,15%,100%,17%
83,Hollis,1,0.7202602,23,15%,39%,10%
84,Homecrest,1,0.6873672,103,15%,73%,47%
85,Hudson Yards-Chelsea-Flatiron-Union Square,56,2.528175,741,855%,445%,337%
86,Hunters Point-Sunnyside-West Maspeth,11,0.8716467,347,168%,134%,158%
87,Hunts Point,4,1.8140919,65,61%,127%,30%
88,Jackson Heights,1,0.8033236,340,15%,215%,155%
89,Jamaica,6,1.4316013,212,92%,185%,96%
90,Jamaica Estates-Holliswood,1,0.8257869,76,15%,53%,35%
91,Kensington-Ocean Parkway,1,0.4862013,53,15%,45%,24%
92,Kew Gardens,6,0.5288924,41,92%,31%,19%
93,Kew Gardens Hills,1,0.4525257,53,15%,42%,24%
94,Kingsbridge Heights,1,1.1111474,29,15%,86%,13%
95,Laurelton,1,0.8313114,31,15%,53%,14%
96,Lenox Hill-Roosevelt Island,4,0.4018285,279,61%,83%,127%
97,Lincoln Square,15,0.7042604,184,229%,108%,84%
98,Lindenwood-Howard Beach,1,0.6430533,45,15%,47%,20%
99,Longwood,4,1.3742072,43,61%,89%,20%
100,Lower East Side,7,0.6977089,148,107%,132%,67%
101,Madison,1,0.5274868,64,15%,54%,29%
102,Manhattanville,2,1.1616691,33,31%,70%,15%
103,Marble Hill-Inwood,2,0.8002701,113,31%,102%,51%
104,Mariner's Harbor-Arlington-Port Ivory-Graniteville,0,0.9483805,41,0%,73%,19%
105,Maspeth,1,0.5925498,72,15%,42%,33%
106,Melrose South-Mott Haven North,2,1.706817,85,31%,169%,39%
107,Middle Village,9,0.389125,55,137%,39%,25%
108,Midtown-Midtown South,31,9.3913844,1653,473%,674%,751%
109,Midwood,1,0.5629538,69,15%,74%,31%
110,Morningside Heights,5,0.7841549,161,76%,108%,73%
111,Morrisania-Melrose,3,1.2515843,54,46%,120%,25%
112,Mott Haven-Port Morris,15,1.3907005,106,229%,184%,48%
113,Mount Hope,3,1.1715834,71,46%,155%,32%
114,Murray Hill,6,0.370809,158,92%,49%,72%
115,Murray Hill-Kips Bay,4,0.9492073,355,61%,119%,161%
116,New Brighton-Silver Lake,1,0.6007646,48,15%,28%,22%
117,New Dorp-Midland Beach,5,0.4998114,74,76%,27%,34%
118,New Springville-Bloomfield-Travis,5,0.5668446,89,76%,57%,40%
119,North Corona,1,0.878815,152,15%,112%,69%
120,North Riverdale-Fieldston-Riverdale,2,0.5775178,42,31%,39%,19%
121,North Side-South Side,8,1.5932277,403,122%,186%,183%
122,Norwood,12,1.1936822,69,183%,125%,31%
123,Oakland Gardens,1,0.3986191,41,15%,28%,19%
124,Oakwood-Oakwood Beach,0,0.2813322,14,0%,16%,6%
125,Ocean Hill,1,1.6242028,27,15%,131%,12%
126,Ocean Parkway South,0,0.4861573,20,0%,24%,9%
127,Old Astoria,1,0.7631281,63,15%,51%,29%
128,Old Town-Dongan Hills-South Beach,12,0.3680147,52,183%,23%,24%
129,Ozone Park,1,0.9215757,46,15%,52%,21%
130,park-cemetery-etc-Bronx,34,15.5410312,23,519%,54%,10%
131,park-cemetery-etc-Brooklyn,26,33.8942308,18,397%,36%,8%
132,park-cemetery-etc-Manhattan,12,14.4976399,17,183%,55%,8%
133,park-cemetery-etc-Queens,11,25.7990868,66,168%,29%,30%
134,park-cemetery-etc-Staten Island,0,0,0,0%,0%,0%
135,Park Slope-Gowanus,2,0.7891414,428,31%,146%,195%
136,Parkchester,1,0.5234396,43,15%,40%,20%
137,Pelham Bay-Country Club-City Island,7,0.5164696,68,107%,34%,31%
138,Pelham Parkway,1,0.8181246,54,15%,63%,25%
139,Pomonok-Flushing Heights-Hillcrest,1,0.5039962,51,15%,43%,23%
140,Port Richmond,1,0.9511435,50,15%,47%,23%
141,Prospect Heights,0,0.8802386,108,0%,46%,49%
142,Prospect Lefferts Gardens-Wingate,8,1.1369368,131,122%,200%,60%
143,Queens Village,1,0.6759457,81,15%,99%,37%
144,Queensboro Hill,7,0.5050264,29,107%,27%,13%
145,Queensbridge-Ravenswood-Long Island City,4,1.2136577,74,61%,57%,34%
146,Rego Park,7,0.4109091,57,107%,29%,26%
147,Richmond Hill,6,0.8819154,126,92%,146%,57%
148,Ridgewood,1,0.751076,157,15%,134%,71%
149,Rikers Island,0,2.5254081,0,0%,63%,0%
150,Rosedale,1,0.6843729,35,15%,49%,16%
151,Rossville-Woodrow,1,0.2909018,22,15%,15%,10%
152,Rugby-Remsen Village,1,0.9737548,82,15%,139%,37%
153,Schuylerville-Throgs Neck-Edgewater Park,10,0.7309561,86,153%,86%,39%
154,Seagate-Coney Island,32,1.4091545,59,489%,107%,27%
155,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,18,0.7339569,138,275%,115%,63%
156,SoHo-TriBeCa-Civic Center-Little Italy,6,2.2541751,678,92%,229%,308%
157,Soundview-Bruckner,0,1.1787327,58,0%,107%,26%
158,Soundview-Castle Hill-Clason Point-Harding Park,3,1.133829,29,46%,155%,13%
159,South Jamaica,7,0.9819878,18,107%,92%,8%
160,South Ozone Park,2,0.88699,164,31%,180%,75%
161,Springfield Gardens North,5,0.9570088,26,76%,66%,12%
162,Springfield Gardens South-Brookville,0,1.0954223,31,0%,55%,14%
163,Spuyten Duyvil-Kingsbridge,1,0.9648888,104,15%,73%,47%
164,St. Albans,20,0.7299699,51,305%,95%,23%
165,Stapleton-Rosebank,5,0.9674273,75,76%,63%,34%
166,Starrett City,0,0.6473249,13,0%,21%,6%
167,Steinway,1,0.5530499,146,15%,69%,66%
168,Stuyvesant Heights,3,1.4472027,110,46%,237%,50%
169,Stuyvesant Town-Cooper Village,0,0.3110135,9,0%,17%,4%
170,Sunset Park East,0,0.5751469,236,0%,104%,107%
171,Sunset Park West,1,0.8137333,181,15%,114%,82%
172,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1,0.3131753,77,15%,25%,35%
173,Turtle Bay-East Midtown,8,1.0662699,593,122%,131%,270%
174,University Heights-Morris Heights,2,0.8026843,55,31%,110%,25%
175,Upper East Side-Carnegie Hill,7,1.140497,290,107%,170%,132%
176,Upper West Side,8,0.6668239,360,122%,230%,164%
177,Van Cortlandt Village,3,0.7241275,49,46%,91%,22%
178,Van Nest-Morris Park-Westchester Square,7,0.9601967,90,107%,73%,41%
179,Washington Heights North,4,0.7554336,132,61%,136%,60%
180,Washington Heights South,12,0.7247267,167,183%,165%,76%
181,West Brighton,0,1.7903309,21,0%,70%,10%
182,West Concourse,24,1.6053427,125,366%,162%,57%
183,West Farms-Bronx River,1,1.1974522,49,15%,107%,22%
184,West New Brighton-New Brighton-St. George,18,1.1052733,78,275%,88%,35%
185,West Village,18,1.7935551,869,275%,306%,395%
186,Westchester-Unionport,1,0.967871,58,15%,68%,26%
187,Westerleigh,8,0.3925295,66,122%,24%,30%
188,Whitestone,1,0.479416,59,15%,39%,27%
189,Williamsbridge-Olinville,3,1.1381559,87,46%,178%,40%
190,Williamsburg,1,0.3472645,15,15%,29%,7%
191,Windsor Terrace,1,0.496212,55,15%,28%,25%
192,Woodhaven,5,0.6884971,97,76%,104%,44%
193,Woodlawn-Wakefield,3,0.8274206,73,46%,96%,33%
194,Woodside,9,0.5590048,125,137%,64%,57%
195,Yorkville,0,0.4428652,238,0%,87%,108%
